Protein	Accession
A0A0E0UCT0	SinmeB_1521
A0A0E0UCT8	SinmeB_1531
A0A0E0UCU7	SinmeB_1541
A0A0E0UCU9	SinmeB_1551
A0A0E0UCV1	SinmeB_1128
A0A0E0UCX8	SinmeB_1556
A0A0E0UCY2	SinmeB_1625
A0A0E0UD17	SinmeB_1169
A0A0E0UD69	SinmeB_1633
A0A0E0UD90	SinmeB_1508
A0A0E0UD97	SinmeB_1528
A0A0E0UDD5	SinmeB_1533
A0A0E0UDL4	SinmeB_1568
A0A0E0UDW5	SinmeB_1849
A0A0E0UEF9	SinmeB_1955
A0A0E0UEH3	SinmeB_2181
A0A0E0UET8	SinmeB_1966
A0A0E0UEW7	SinmeB_2230
A0A0E0UEX4	SinmeB_2350
A0A0E0UFF6	SinmeB_2312
A0A0E0UFH5	SinmeB_2500
A0A0E0UFJ1	SinmeB_2484
A0A0E0UFL2	SinmeB_2504
A0A0E0UG10	SinmeB_2565
A0A0E0UG46	SinmeB_2294
A0A0E0UGD4	SinmeB_2735
A0A0E0UGI2	SinmeB_2882
A0A0E0UGL8	SinmeB_2636
A0A0E0UH56	SinmeB_2676
A0A0E0UHM0	SinmeB_2881
A0A0E0UHQ8	SinmeB_3267
A0A0E0UHT8	SinmeB_3359
A0A0E0UHU9	SinmeB_3286
A0A0E0UHV7	SinmeB_3347
A0A0E0UI25	SinmeB_3357
A0A0E0UI36	SinmeB_3429
A0A0E0UIH3	SinmeB_3392
A0A0E0UII0	SinmeB_3348
A0A0E0UIQ4	SinmeB_3164
A0A0E0UJ54	SinmeB_3455
A0A0E0UJ98	SinmeB_5455
A0A0E0UJC1	SinmeB_5464
A0A0E0UKM9	SinmeB_5276
A0A0E0UKN7	SinmeB_6036
A0A0E0UKP1	SinmeB_6032
A0A0E0UKY1	SinmeB_6039
A0A0E0UL81	SinmeB_5944;;SinmeB_5982
A0A0E0ULB5	SinmeB_6284
A0A0E0ULH8	SinmeB_6301
A0A0E0UN93	SinmeB_6031
A0A0E0UN97	SinmeB_3627
A0A0E0UNG4	SinmeB_3814
A0A0E0UNJ4	SinmeB_3831
A0A0E0UNP3	SinmeB_3924
A0A0E0UPG1	SinmeB_3666
A0A0E0UPL1	SinmeB_4228
A0A0E0UPR3	SinmeB_4135
A0A0E0UPR9	SinmeB_4189
A0A0E0UPX2	SinmeB_4375
A0A0E0UQ72	SinmeB_4225
A0A0E0UQG5	SinmeB_4504
A0A0E0URT6	SinmeB_4421
A0A0E0UW41	SinmeB_4880
A0A0E0UWC2	LMM7_1667
A0A0E1EET6	LMM7_1656
A0A0E1EL42	EN72_00255;;RDF_0017;;AX245_06090
A0A0E1EN14	EN72_04380;;RDF_0739;;ERS039640_00604;;WA34_17035;;AX245_05335
A0A0E1R974	EN72_05955;;RDF_1063;;AX245_05835
A0A0E1Y3Q6	BN389_02370
A0A0E2CSW4	NT04LM_2565
A0A0E2D3A7	LEP1GSC087_1610
A0A0E3CNN1	LEP1GSC105_4513
A0A0E3CRJ7	NP51_03000;;PY91_07990;;PY63_07995
A0A0F0JYS2	NP51_03440;;PY66_01060;;PY91_02245;;PY63_06890
A0A0F6P9K5	AGG09_28190;;BCB67_06770
A0A0G2PF30	N/A
A0A0G2Q9D4	BCG_0027c;;BCG_3979c
A0A0G2Q9D8	BCG_0002;;BCG_0032
A0A0G2Q9E8	BCG_0007;;BCG_0037
A0A0G2Q9E9	BCG_0023c;;BCG_3975c
A0A0G2Q9F8	BCG_0024c;;BCG_3976c
A0A0G2Q9F9	BCG_0006;;BCG_0036
A0A0G2Q9G0	BCG_0008c;;BCG_0038c
A0A0G2Q9H1	BCG_0009;;BCG_0039
A0A0G2Q9H2	BCG_3241;;BCG_3334
A0A0G2Q9I7	BCG_3242;;BCG_3335
A0A0G2Q9K0	BCG_3257;;BCG_3350
A0A0G2Q9L2	BCG_3330c;;BCG_3366c
A0A0G2Q9N7	BCG_3251c;;BCG_3344c
A0A0G2Q9N9	BCG_0019;;BCG_3971
A0A0H0YCP0	BCG_0021;;BCG_3973
A0A0H0YG72	AOG25_00450
A0A0H0YGD0	AOG25_18800
A0A0H1NRE3	AOG25_03375
A0A0H1XJQ7	RDF_1598;;BBP08_00390;;ERS039640_00090;;WA34_07475
A0A0H2UQ40	Z1235;;BAB34398
A0A0H2USC0	Z4915
A0A0H2USF2	SF_p0054
A0A0H2USF3	SF_p0080;;SF0320;;S2011
A0A0H2USG1	SF_p0040;;SF_p0066;;SF1921
A0A0H2USH9	SF_p0265
A0A0H2USM2	SF_p0231
A0A0H2USP0	SF_p0204
A0A0H2USP5	SF_p0117
A0A0H2USS8	SF_p0213
A0A0H2UWW5	SF_p0112
A0A0H2UWZ6	N/A
A0A0H2UX03	N/A
A0A0H2UX23	SF0115
A0A0H2UX29	SF0227;;SF1050;;S0249
A0A0H2UX95	N/A
A0A0H2UXE8	N/A
A0A0H2UXR4	N/A
A0A0H2UXU2	N/A
A0A0H2UXV0	N/A
A0A0H2UXW2	N/A
A0A0H2UY03	N/A
A0A0H2UY50	SF0722
A0A0H2UY62	SF0797;;S0840
A0A0H2UY65	N/A
A0A0H2UY89	N/A
A0A0H2UY99	N/A
A0A0H2UYA8	SF0842
A0A0H2UYC2	SF0884;;SF3750
A0A0H2UYC3	N/A
A0A0H2UYD2	SF0869;;S0913
A0A0H2UYJ4	SF0882
A0A0H2UYP6	SF1038
A0A0H2UYV7	N/A
A0A0H2UYY2	SF1227
A0A0H2UYY3	N/A
A0A0H2UYY9	SF1276
A0A0H2UZ04	SF0519;;SF1590;;SF2008;;SF3515;;SF4217
A0A0H2UZ60	SF1308
A0A0H2UZ75	N/A
A0A0H2UZI2	SF1374
A0A0H2UZL0	SF1253;;SF1550
A0A0H2UZM7	N/A
A0A0H2UZP6	SF0866
A0A0H2UZP8	SF1660
A0A0H2UZQ6	N/A
A0A0H2UZT5	N/A
A0A0H2UZX5	N/A
A0A0H2UZZ8	SF1847
A0A0H2V013	N/A
A0A0H2V042	SF1088;;S1168
A0A0H2V062	SF1150
A0A0H2V075	N/A
A0A0H2V0B5	SF1920
A0A0H2V0C3	SF1286
A0A0H2V0C8	N/A
A0A0H2V0D7	SF0791;;SF2062
A0A0H2V0E5	SF2025
A0A0H2V0F8	SF2035
A0A0H2V0J1	SF2052
A0A0H2V0L8	SF2124;;S2248
A0A0H2V0M8	N/A
A0A0H2V0Q5	SF2182
A0A0H2V0R7	SF2325
A0A0H2V0T8	SF1477
A0A0H2V0W2	N/A
A0A0H2V0Y6	SF1580
A0A0H2V0Z7	N/A
A0A0H2V104	N/A
A0A0H2V107	N/A
A0A0H2V132	SF2493
A0A0H2V137	SF2557
A0A0H2V170	SF1751;;S1884
A0A0H2V179	SF2610
A0A0H2V1A9	SF2621
A0A0H2V1B5	N/A
A0A0H2V1E3	SF2715
A0A0H2V1J2	SF2643
A0A0H2V1J5	SF2868
A0A0H2V1M4	SF2757
A0A0H2V1N8	SF2828;;S3025
A0A0H2V1P4	N/A
A0A0H2V1Q4	SF2962;;S3165
A0A0H2V1U5	SF2978
A0A0H2V1V4	N/A
A0A0H2V1V9	SF2979;;S3184
A0A0H2V1Z0	N/A
A0A0H2V203	N/A
A0A0H2V252	N/A
A0A0H2V292	SF3324
A0A0H2V2A5	SF2033
A0A0H2V2A8	SF3448
A0A0H2V2B5	N/A
A0A0H2V2L0	N/A
A0A0H2V2S3	SF2313
A0A0H2V2U9	N/A
A0A0H2V2V7	SF0673;;SF3709;;SF3722
A0A0H2V2Y1	N/A
A0A0H2V2Y7	N/A
A0A0H2V2Z3	SF3790
A0A0H2V371	SF3798;;S3970
A0A0H2V3A5	SF2747;;S2939
A0A0H2V3C6	N/A
A0A0H2V3I9	N/A
A0A0H2V3M4	SF4250
A0A0H2V3M9	N/A
A0A0H2V3N4	N/A
A0A0H2V3P9	SF4285
A0A0H2V3Q5	SF4360
A0A0H2V3S2	SF3970;;S3778
A0A0H2V3S3	N/A
A0A0H2V3V0	N/A
A0A0H2V407	N/A
A0A0H2V442	SF3315;;S3539
A0A0H2V488	N/A
A0A0H2V555	N/A
A0A0H2V5C4	N/A
A0A0H2V5L0	N/A
A0A0H2VSM9	SF4370;;S4640
A0A0H2VSS8	N/A
A0A0H2VT45	SF0177;;S0180
A0A0H2VT54	SF0436;;S0443
A0A0H2VT81	N/A
A0A0H2VTA6	SF0508;;S0514
A0A0H2VTF9	N/A
A0A0H2VTI8	N/A
A0A0H2VTK0	N/A
A0A0H2VTU0	N/A
A0A0H2VTW3	N/A
A0A0H2VTY7	SF0702;;S0740
A0A0H2VTZ4	SF0820;;S4814
A0A0H2VUP7	N/A
A0A0H2VUT9	N/A
A0A0H2VUW9	SF1203;;S1287
A0A0H2VUZ8	N/A
A0A0H2VV08	N/A
A0A0H2VV29	SF1265;;S1351
A0A0H2VV39	N/A
A0A0H2VV44	N/A
A0A0H2VV48	N/A
A0A0H2VVB7	N/A
A0A0H2VVC0	N/A
A0A0H2VVD2	N/A
A0A0H2VVG5	N/A
A0A0H2VVI1	N/A
A0A0H2VVP2	N/A
A0A0H2VVS9	N/A
A0A0H2VVU1	N/A
A0A0H2VW13	N/A
A0A0H2VW22	N/A
A0A0H2VW26	N/A
A0A0H2VW51	N/A
A0A0H2VWL1	SF_p0208;;S0267;;S0698;;S0872;;S0923;;S0997;;S1026;;S1129;;S1578;;S1706;;S1714;;S1798;;S1900;;S2107;;S2880;;S3401;;S3760;;S3883;;S3964;;S4253;;S4441
A0A0H2VWM2	SF2263;;S2392
A0A0H2VX20	SF1280;;S1363
A0A0H2VX23	N/A
A0A0H2VX42	N/A
A0A0H2VX83	N/A
A0A0H2VXB8	N/A
A0A0H2VXH5	N/A
A0A0H2VXM7	N/A
A0A0H2VXW3	N/A
A0A0H2VXW8	N/A
A0A0H2VXY8	N/A
A0A0H2VXZ9	SF3860;;S3900
A0A0H2VY02	SF0695;;SF1845;;S2182
A0A0H2VY20	SF1768;;SF3083;;SF3185;;S3288;;S4049
A0A0H2VY68	N/A
A0A0H2VYF0	N/A
A0A0H2VYF7	N/A
A0A0H2VYP7	N/A
A0A0H2VYQ8	N/A
A0A0H2VYU4	SF3932;;S3815
A0A0H2VYX6	N/A
A0A0H2VZ63	SF3797;;S3971
A0A0H2VZN3	N/A
A0A0H2VZP1	N/A
A0A0H2VZQ5	N/A
A0A0H2VZS4	SF3127;;S3334
A0A0H2VZY7	N/A
A0A0H2W006	N/A
A0A0H2W0B9	N/A
A0A0H2W0C8	N/A
A0A0H2W0D3	N/A
A0A0H2W0I3	SF3626;;S4142
A0A0H2W0M7	N/A
A0A0H2W0U1	N/A
A0A0H2W120	N/A
A0A0H2WVE0	SF3413;;S4349
A0A0H2WVJ7	SACOL0846
A0A0H2WVT9	SACOL0875
A0A0H2WVU2	SACOL0857
A0A0H2WVX8	SACOL1159
A0A0H2WW08	SACOL1347
A0A0H2WW42	SACOL1005
A0A0H2WW50	SACOL1065
A0A0H2WW54	SACOL1560
A0A0H2WW67	SACOL1549
A0A0H2WW68	SACOL1561
A0A0H2WW75	SACOL1669
A0A0H2WWC0	SACOL1679
A0A0H2WWE9	SACOL1849
A0A0H2WWF0	SACOL1898
A0A0H2WWF4	SACOL1543
A0A0H2WWN8	SACOL1551
A0A0H2WWP2	SACOL1887
A0A0H2WWR5	SACOL1895
A0A0H2WWV4	SACOL2255
A0A0H2WWV6	SACOL1571
A0A0H2WWV7	SACOL1043
A0A0H2WWY8	SACOL2043
A0A0H2WX02	SACOL1183
A0A0H2WX21	SACOL2394
A0A0H2WX37	SACOL1367
A0A0H2WX88	SACOL1900
A0A0H2WXA4	SACOL2561
A0A0H2WXA5	SACOL2057
A0A0H2WXB1	SACOL2553
A0A0H2WXB4	SACOL1703
A0A0H2WXD9	SACOL2705
A0A0H2WXE3	SACOL0137
A0A0H2WXT4	SACOL0142
A0A0H2WXU4	SACOL2316
A0A0H2WY00	SACOL2332
A0A0H2WY40	SACOL0016
A0A0H2WY61	SACOL2479
A0A0H2WYD2	SACOL0742
A0A0H2WYE2	SACOL0915
A0A0H2WYH9	SACOL0032
A0A0H2WYJ9	SACOL0976
A0A0H2WYM6	SACOL1101
A0A0H2WYP2	SACOL0803
A0A0H2WYT5	SACOL1253
A0A0H2WYV4	SACOL1308
A0A0H2WYW1	SACOL0516
A0A0H2WYW9	SACOL1588
A0A0H2WZ06	SACOL0552
A0A0H2WZ29	SACOL1802
A0A0H2WZ39	SACOL1298
A0A0H2WZ77	SACOL1814
A0A0H2WZ86	SACOL1613
A0A0H2WZB1	SACOL1205
A0A0H2WZC2	SACOL1285
A0A0H2WZF0	SACOL1788
A0A0H2WZG1	SACOL1835
A0A0H2WZG9	SACOL2450
A0A0H2WZJ1	SACOL1625
A0A0H2WZL1	SACOL1096
A0A0H2WZM0	SACOL1795
A0A0H2WZQ6	SACOL2663
A0A0H2WZW3	SACOL1307
A0A0H2WZX2	SACOL1640
A0A0H2WZY6	SACOL2293
A0A0H2WZZ2	SACOL1753
A0A0H2X027	SACOL0281
A0A0H2X029	SACOL0051
A0A0H2X037	SACOL0429
A0A0H2X0A1	SACOL1937
A0A0H2X0B5	SACOL0427
A0A0H2X0C4	SACOL0455
A0A0H2X1A6	SACOL2664
A0A0H2X1G4	SACOL0241
A0A0H2YY22	SACOL0413
A0A0H2Z6P1	APECO1_349
A0A0H2Z6X6	PA14_54030
A0A0H2Z7B7	PA14_53680
A0A0H2Z892	PA14_51120
A0A0H2Z8T0	PA14_49740
A0A0H2Z968	PA14_44440
A0A0H2Z9A9	PA14_44820
A0A0H2Z9C3	PA14_43280
A0A0H2Z9M5	PA14_44120
A0A0H2Z9S0	PA14_41570
A0A0H2Z9U4	PA14_40860
A0A0H2ZA56	PA14_39820
A0A0H2ZA93	PA14_33900
A0A0H2ZAH9	PA14_39810
A0A0H2ZAX4	PA14_37830
A0A0H2ZBE7	PA14_30110
A0A0H2ZBR4	PA14_27800
A0A0H2ZCG9	PA14_31270
A0A0H2ZCW9	PA14_28770
A0A0H2ZD39	PA14_20450
A0A0H2ZDN1	PA14_19640
A0A0H2ZE32	PA14_22980
A0A0H2ZEH0	PA14_14750
A0A0H2ZEZ6	PA14_17580
A0A0H2ZF94	PA14_14740
A0A0H2ZFZ7	PA14_14480
A0A0H2ZGH6	PA14_10780
A0A0H2ZGM4	PA14_61360
A0A0H2ZGY3	PA14_58250
A0A0H2ZHP8	PA14_59540
A0A0H2ZHV0	PA14_68260
A0A0H2ZI65	PA14_62480
A0A0H2ZIH9	PA14_65000
A0A0H2ZIW7	PA14_66040
A0A0H2ZK24	PA14_69370
A0A0H2ZLD8	PA14_00910
A0A0H2ZLE0	SPD_0345
A0A0H2ZLH0	SPD_1671
A0A0H2ZLI5	SPD_1635
A0A0H2ZLT2	PA14_06600
A0A0H2ZLY8	SPD_0757
A0A0H2ZLZ4	SPD_0264
A0A0H2ZM91	PA14_08450
A0A0H2ZMK9	SPD_1474
A0A0H2ZMP5	SPD_1415
A0A0H2ZMS9	SPD_1928
A0A0H2ZMV7	SPD_0130
A0A0H2ZN13	SPD_0740
A0A0H2ZN54	SPD_0700
A0A0H2ZN64	SPD_1932
A0A0H2ZN99	SPD_0577
A0A0H2ZNG3	SPD_0720
A0A0H2ZNG8	SPD_0876
A0A0H2ZNI4	SPD_1042
A0A0H2ZNM6	SPD_0448
A0A0H2ZNN6	SPD_0382
A0A0H2ZNS9	SPD_0006
A0A0H2ZNX1	SPD_0412
A0A0H2ZNX3	SPD_1307
A0A0H2ZP62	SPD_1788
A0A0H2ZP84	SPD_1258
A0A0H2ZPA7	SPD_0033
A0A0H2ZPC6	SPD_1737
A0A0H2ZPG7	SPD_0151
A0A0H2ZPI5	SPD_0342
A0A0H2ZPL5	SPD_1018
A0A0H2ZPN9	SPD_1099
A0A0H2ZPQ1	SPD_1098
A0A0H2ZPS0	SPD_1079
A0A0H2ZPS7	SPD_1101
A0A0H2ZPT1	SPD_1849
A0A0H2ZPT5	SPD_0948
A0A0H2ZQ65	SPD_1480
A0A0H2ZQ87	SPD_1797
A0A0H2ZQE0	SPD_1934
A0A0H2ZQE4	SPD_0790
A0A0H2ZQF3	SPD_0420
A0A0H2ZQI4	SPD_0705
A0A0H2ZQW0	SPD_0270
A0A0H2ZR12	SPD_1369
A0A0H2ZR39	SPD_0444
A0A0H2ZR50	SPD_0803
A0A0H2ZR80	SPD_0150
A0A0H2ZRA8	SPD_0672
A0A0H2ZRF0	SPD_0558
A0A0H3BNJ9	SPD_1038
A0A0H3FL20	SNSL254_A0049
A0A0H3GE39	EAE_02895
A0A0H3GGT0	LMRG_01094
A0A0H3GIV1	LMRG_01294
A0A0H3GJV8	KPHS_06900
A0A0H3GSB6	KPHS_09750
A0A0H3JDM8	KPHS_09810
A0A0H3JF05	Z1174;;Z1613
A0A0H3K684	N/A
A0A0H3K6P9	NWMN_0358
A0A0H3K743	NWMN_0669
A0A0H3K7D0	NWMN_0453
A0A0H3K7F4	NWMN_0949
A0A0H3K7L0	NWMN_0655
A0A0H3K8E2	NWMN_1057
A0A0H3K8I6	NWMN_1176
A0A0H3K8Q4	NWMN_1267
A0A0H3K8V5	NWMN_1592
A0A0H3K9E4	NWMN_1528
A0A0H3K9P0	NWMN_0271;;NWMN_1809
A0A0H3K9T2	NWMN_1972
A0A0H3KA72	NWMN_2029
A0A0H3KAP0	NWMN_2286
A0A0H3KBK6	NWMN_2478
A0A0H3KCE0	NWMN_0741
A0A0H3KCP9	NWMN_1135
A0A0H3KCZ3	NWMN_1317
A0A0H3KDS2	NWMN_1464
A0A0H3KE94	NWMN_1818
A0A0H3KFC4	NWMN_2074
A0A0H3KFD1	NWMN_0828
A0A0H3KFQ9	NWMN_0845
A0A0H3KFX1	NWMN_0976
A0A0H3KGZ9	NWMN_1096
A0A0H3M0I9	NWMN_1586
A0A0H3M0K6	BCG_0060
A0A0H3M0L5	BCG_0082
A0A0H3M0M7	BCG_0095A
A0A0H3M0M9	BCG_0110c
A0A0H3M0P5	BCG_0115
A0A0H3M0Q5	BCG_0140c
A0A0H3M0R6	BCG_0152c
A0A0H3M0V2	BCG_0171c
A0A0H3M0X2	BCG_0215
A0A0H3M0X9	BCG_0236
A0A0H3M0Z1	BCG_0241c
A0A0H3M102	BCG_0253
A0A0H3M143	BCG_0264c
A0A0H3M173	BCG_0047c
A0A0H3M187	BCG_0081
A0A0H3M194	BCG_0099
A0A0H3M199	BCG_0366c
A0A0H3M1A4	BCG_0114
A0A0H3M1A8	BCG_0377c
A0A0H3M1B0	BCG_0382
A0A0H3M1C1	BCG_0124
A0A0H3M1E3	BCG_0134
A0A0H3M1E6	BCG_0162
A0A0H3M1F0	BCG_0421c
A0A0H3M1F9	BCG_0426
A0A0H3M1H5	BCG_0183
A0A0H3M1J6	BCG_0451c
A0A0H3M1J7	BCG_0477c
A0A0H3M1K1	BCG_0219c
A0A0H3M1N7	BCG_0485c
A0A0H3M1P9	BCG_0263c
A0A0H3M1R0	BCG_0280c
A0A0H3M1R4	BCG_0515
A0A0H3M1S1	BCG_0522c
A0A0H3M1S9	BCG_0301c
A0A0H3M1U6	BCG_0540
A0A0H3M1X8	BCG_0581c
A0A0H3M1Y5	BCG_0348
A0A0H3M204	BCG_0633
A0A0H3M210	BCG_0386
A0A0H3M225	BCG_0399
A0A0H3M245	BCG_0680c
A0A0H3M263	BCG_0704
A0A0H3M2A5	BCG_0746
A0A0H3M2C1	BCG_0504c
A0A0H3M2C2	BCG_0045c
A0A0H3M2D9	BCG_0830
A0A0H3M2E0	BCG_0851c
A0A0H3M2E1	BCG_0079c
A0A0H3M2E5	BCG_0528
A0A0H3M2E7	BCG_0085
A0A0H3M2G7	BCG_0539
A0A0H3M2H1	BCG_0892c
A0A0H3M2H3	BCG_0573
A0A0H3M2H5	BCG_0897
A0A0H3M2I6	BCG_0580
A0A0H3M2K4	BCG_0908
A0A0H3M2K8	BCG_0923
A0A0H3M2M1	BCG_0159
A0A0H3M2N0	BCG_0643c
A0A0H3M2Q0	BCG_0191
A0A0H3M2R5	BCG_0212
A0A0H3M2S1	BCG_0227
A0A0H3M2S6	BCG_0238c
A0A0H3M2T4	BCG_0243c
A0A0H3M2U2	BCG_1003
A0A0H3M2V0	BCG_0735
A0A0H3M2W3	BCG_0273c
A0A0H3M310	BCG_1038
A0A0H3M322	BCG_0330
A0A0H3M336	BCG_0835
A0A0H3M338	BCG_0850c
A0A0H3M349	BCG_1103
A0A0H3M363	BCG_0862c
A0A0H3M375	BCG_0875c
A0A0H3M379	BCG_1162c
A0A0H3M380	BCG_1169c
A0A0H3M389	BCG_0391
A0A0H3M3A0	BCG_0896c
A0A0H3M3A7	BCG_1200c
A0A0H3M3B6	BCG_0912
A0A0H3M3C6	BCG_1227
A0A0H3M3E7	BCG_1244
A0A0H3M3F1	BCG_1269
A0A0H3M3F6	BCG_0448
A0A0H3M3G2	BCG_1287c
A0A0H3M3G7	BCG_0961
A0A0H3M3I2	BCG_0460c
A0A0H3M3L4	BCG_1324
A0A0H3M3M4	BCG_0502
A0A0H3M3M8	BCG_1391c
A0A0H3M3P3	BCG_1397
A0A0H3M3P5	BCG_1424c
A0A0H3M3R1	BCG_1429c
A0A0H3M3R7	BCG_0532
A0A0H3M3S8	BCG_1460c
A0A0H3M3V5	BCG_1472c
A0A0H3M429	BCG_1503
A0A0H3M454	BCG_0665
A0A0H3M469	BCG_0688
A0A0H3M480	BCG_1204c
A0A0H3M499	BCG_1609
A0A0H3M4A3	BCG_1243
A0A0H3M4A6	BCG_1248c
A0A0H3M4A7	BCG_0763
A0A0H3M4G7	BCG_1253
A0A0H3M4G9	BCG_0860
A0A0H3M4H4	BCG_1701
A0A0H3M4H7	BCG_1706c
A0A0H3M4J7	BCG_1355
A0A0H3M4J8	BCG_0899
A0A0H3M4M1	BCG_1390
A0A0H3M4M5	BCG_0925
A0A0H3M4P2	BCG_1782
A0A0H3M4T3	BCG_0954c
A0A0H3M4U0	BCG_0994c
A0A0H3M4U3	BCG_1854c
A0A0H3M4X4	BCG_1860
A0A0H3M4Y2	BCG_1905c
A0A0H3M4Z4	BCG_1545
A0A0H3M520	BCG_1051
A0A0H3M565	BCG_1581
A0A0H3M566	BCG_2015c
A0A0H3M589	BCG_1116
A0A0H3M591	BCG_1158c
A0A0H3M597	BCG_2050c
A0A0H3M5C2	BCG_1171c
A0A0H3M5G6	BCG_1207
A0A0H3M5I0	BCG_1742c
A0A0H3M5I9	BCG_1266
A0A0H3M5J1	BCG_1277c
A0A0H3M5J3	BCG_1283
A0A0H3M5J6	BCG_2166c
A0A0H3M5K2	BCG_1776c
A0A0H3M5L8	BCG_2180c
A0A0H3M5M1	BCG_2197c
A0A0H3M5N5	BCG_1802c
A0A0H3M5N6	BCG_1331c
A0A0H3M5P8	BCG_2213c
A0A0H3M5S4	BCG_1832
A0A0H3M5S8	BCG_2231
A0A0H3M5T7	BCG_2238c
A0A0H3M5V0	BCG_2249c
A0A0H3M5V1	BCG_2264
A0A0H3M5V7	BCG_1426c
A0A0H3M5W6	BCG_1925c
A0A0H3M5X7	BCG_1450
A0A0H3M5Z5	BCG_1954
A0A0H3M5Z7	BCG_1488c
A0A0H3M610	BCG_2321
A0A0H3M624	BCG_2336c
A0A0H3M638	BCG_1517c
A0A0H3M639	BCG_1532
A0A0H3M647	BCG_2009c
A0A0H3M648	BCG_2014
A0A0H3M677	BCG_1537c
A0A0H3M694	BCG_1564
A0A0H3M6A1	BCG_1579c
A0A0H3M6B2	BCG_1584c
A0A0H3M6B9	BCG_1595
A0A0H3M6E1	BCG_1600
A0A0H3M6F5	BCG_1629
A0A0H3M6H3	BCG_2120
A0A0H3M6I8	BCG_2146c
A0A0H3M6I9	BCG_2174c
A0A0H3M6J3	BCG_1668
A0A0H3M6L3	BCG_1673c
A0A0H3M6N8	BCG_1703
A0A0H3M6Q0	BCG_1734
A0A0H3M6S7	BCG_1750
A0A0H3M6T3	BCG_1785
A0A0H3M6U0	BCG_2243
A0A0H3M6U5	BCG_2253c
A0A0H3M6U9	BCG_2258
A0A0H3M6V0	BCG_2650
A0A0H3M6W3	BCG_2263
A0A0H3M6Y7	BCG_2283
A0A0H3M6Y9	BCG_2692
A0A0H3M714	BCG_2314
A0A0H3M719	BCG_2708
A0A0H3M729	BCG_2360c
A0A0H3M737	BCG_1902
A0A0H3M741	BCG_2724
A0A0H3M745	BCG_2400c
A0A0H3M746	BCG_2405
A0A0H3M751	BCG_0044c
A0A0H3M760	BCG_0050c
A0A0H3M763	BCG_0066
A0A0H3M781	BCG_2435c
A0A0H3M782	BCG_2463
A0A0H3M795	BCG_0101c
A0A0H3M7A7	BCG_2487
A0A0H3M7A9	BCG_0136c
A0A0H3M7E0	BCG_2509c
A0A0H3M7E1	BCG_2558
A0A0H3M7E6	BCG_0200
A0A0H3M7F4	BCG_0206
A0A0H3M7F7	BCG_0216c
A0A0H3M7G2	BCG_2012
A0A0H3M7I8	BCG_2017
A0A0H3M7K2	BCG_0254c
A0A0H3M7L7	BCG_2649
A0A0H3M7N1	BCG_2067c
A0A0H3M7N2	BCG_0308
A0A0H3M7R2	BCG_2881c
A0A0H3M7R3	BCG_2920c
A0A0H3M7R8	BCG_2707c
A0A0H3M7S4	BCG_2929c
A0A0H3M7T9	BCG_0378c
A0A0H3M7U1	BCG_0401c
