Protein	PI.isoelectric.point...MW.molecular.weight.
A0A0H2V0J1	7.08,,80706.7
A0A0H2V0L8	5.29,,32936.87
A0A0H2V0M8	9.7,,31604.99
A0A0H2V0Q5	8.68,,44069.02
A0A0H2V0R7	5.8,,30985.16
A0A0H2V0T8	5.85,,43262.4
A0A0H2V0W2	8.01,,8937.39
A0A0H2V0Y6	6.87,,46172.17
A0A0H2V0Z7	5.41,,32507.05
A0A0H2V104	5.38,,82383.41
A0A0H2V107	9.53,,30821.39
A0A0H2V132	5.52,,55066.95
A0A0H2V137	6.9,,112951.39
A0A0H2V170	5.65,,69700.22
A0A0H2V179	9.9,,27462.32
A0A0H2V1A9	8.96,,80431.51
A0A0H2V1B5	5.38,,50456.51
A0A0H2V1E3	9.08,,37840.49
A0A0H2V1J2	5.73,,82700.32
A0A0H2V1J5	9.76,,31762.19
A0A0H2V1M4	9.63,,48959.34
A0A0H2V1N8	5.74,,131460.52
A0A0H2V1P4	5.76,,81656.91
A0A0H2V1Q4	9.38,,13700.63
A0A0H2V1U5	8.29,,139675.53
A0A0H2V1V4	9.61,,12643.26
A0A0H2V1V9	5.85,,21977.98
A0A0H2V1Z0	5.48,,85908.52
A0A0H2V203	5.34,,30053
A0A0H2V252	8.57,,60686.17
A0A0H2V292	9.65,,31586.98
A0A0H2V2A5	6.96,,57299.19
A0A0H2V2A8	5.4,,56422.59
A0A0H2V2B5	5.98,,27314.42
A0A0H2V2L0	9.05,,10085.72
A0A0H2V2S3	8.43,,37642.67
A0A0H2V2U9	9.92,,15145.91
A0A0H2V2V7	6.67,,43049.24
A0A0H2V2Y1	6.23,,29135.05
A0A0H2V2Y7	5.16,,57201.86
A0A0H2V2Z3	5.69,,18247.07
A0A0H2V371	4.97,,33688.84
A0A0H2V3A5	6.86,,21115.15
A0A0H2V3C6	8.95,,47590.98
A0A0H2V3I9	9.04,,50970.52
A0A0H2V3M4	4.96,,136901.1
A0A0H2V3M9	5.8,,65969.52
A0A0H2V3N4	9.79,,35700.35
A0A0H2V3P9	9.7,,31653.02
A0A0H2V3Q5	6.9,,112571.47
A0A0H2V3S2	5.31,,88927.75
A0A0H2V3S3	5.99,,53099.71
A0A0H2V3V0	4.96,,135856.88
A0A0H2V407	8.46,,19054.95
A0A0H2V442	5.48,,63859.72
A0A0H2V488	5.58,,43658.09
A0A0H2V555	5.16,,47576.65
A0A0H2V5C4	5.18,,53635.2
A0A0H2V5L0	4.54,,32007.43
A0A0H2VSM9	9.79,,15157.86
A0A0H2VSS8	5.1,,15678.84
A0A0H2VT45	9.7,,29216.08
A0A0H2VT54	8.74,,52969.83
A0A0H2VT81	5.61,,58851.78
A0A0H2VTA6	5.51,,48505.83
A0A0H2VTF9	6.17,,44278.8
A0A0H2VTI8	5.07,,26910.51
A0A0H2VTK0	9.36,,10527.9
A0A0H2VTU0	9.48,,25931.9
A0A0H2VTW3	7.79,,23856.84
A0A0H2VTY7	5.44,,67746.01
A0A0H2VTZ4	5.12,,99023.99
A0A0H2VUP7	9.88,,49172.24
A0A0H2VUT9	4.94,,39546.78
A0A0H2VUW9	6.56,,38800.57
A0A0H2VUZ8	6.25,,96185.28
A0A0H2VV08	5.42,,49510.38
A0A0H2VV29	6.01,,87478.23
A0A0H2VV39	5.58,,128901.58
A0A0H2VV44	5.26,,36501.72
A0A0H2VV48	9.78,,43378.62
A0A0H2VVB7	5.64,,54656.11
A0A0H2VVC0	5.41,,37241.34
A0A0H2VVD2	5.82,,64402.8
A0A0H2VVG5	6.08,,105046.71
A0A0H2VVI1	5.85,,45966.5
A0A0H2VVP2	5.81,,9887.03
A0A0H2VVS9	6.25,,38137.24
A0A0H2VVU1	5,,23764.78
A0A0H2VW13	7.7,,29840.28
A0A0H2VW22	4.76,,48542.54
A0A0H2VW26	8.28,,66410.02
A0A0H2VW51	9.52,,15176.84
A0A0H2VWL1	5.73,,58609.14
A0A0H2VWM2	5.65,,97747.46
A0A0H2VX20	6,,28203.36
A0A0H2VX23	9,,40387.18
A0A0H2VX42	5.77,,13764.77
A0A0H2VX83	4.68,,45040.04
A0A0H2VXB8	5.19,,28218.12
A0A0H2VXH5	5.63,,14928.79
A0A0H2VXM7	7.7,,88902.02
A0A0H2VXW3	9.58,,39776.52
A0A0H2VXW8	6.16,,38814.06
A0A0H2VXY8	6.24,,43604.23
A0A0H2VXZ9	9.38,,13539.41
A0A0H2VY02	9.79,,15175.89
A0A0H2VY20	5.22,,54080.04
A0A0H2VY68	7.64,,66555.25
A0A0H2VYF0	5.34,,33100.32
A0A0H2VYF7	5.88,,60104.34
A0A0H2VYP7	6.15,,93581.15
A0A0H2VYQ8	5.4,,54190.71
A0A0H2VYU4	9.87,,27569.47
A0A0H2VYX6	6.2,,49933.35
A0A0H2VZ63	9.78,,47858.24
A0A0H2VZN3	5.49,,70185.87
A0A0H2VZP1	8.39,,28927.95
A0A0H2VZQ5	5.94,,37481.83
A0A0H2VZS4	8.33,,32134.39
A0A0H2VZY7	5.68,,48356.24
A0A0H2W006	4.3,,15869.73
A0A0H2W0B9	5.86,,82019.97
A0A0H2W0C8	6.37,,77066.14
A0A0H2W0D3	5.5,,59725.28
A0A0H2W0I3	6.4,,31562.48
A0A0H2W0M7	6.05,,9084.45
A0A0H2W0U1	6.38,,80065.59
A0A0H2W120	6.6,,29942.39
A0A0H2WVE0	6.21,,90435.57
A0A0H2WVJ7	4.48,,12140.67
A0A0H2WVT9	6.98,,56693.12
A0A0H2WVU2	5.4,,65503.07
A0A0H2WVX8	9.58,,13194.34
A0A0H2WW08	5.14,,69819.39
A0A0H2WW42	5.77,,41819.36
A0A0H2WW50	5.47,,46739.78
A0A0H2WW54	5.31,,56965.22
A0A0H2WW67	4.79,,36061.39
A0A0H2WW68	5.37,,24527.01
A0A0H2WW75	5.07,,5655.18
A0A0H2WWC0	4.84,,13295.39
A0A0H2WWE9	6.11,,35778.81
A0A0H2WWF0	5.22,,33505.88
A0A0H2WWF4	4.53,,63905.69
A0A0H2WWN8	6.43,,51983.49
A0A0H2WWP2	5.84,,13211.77
A0A0H2WWR5	6.01,,30030.24
A0A0H2WWV4	5.33,,50049.34
A0A0H2WWV6	8.96,,57274.78
A0A0H2WWV7	5.18,,64491.48
A0A0H2WWY8	8.45,,56679.16
A0A0H2WX02	5.54,,59430.52
A0A0H2WX21	9.56,,53413.16
A0A0H2WX37	4.89,,46224.5
A0A0H2WX88	4.91,,43205.5
A0A0H2WXA4	5.44,,38426.12
A0A0H2WXA5	6.91,,63757.38
A0A0H2WXB1	9.25,,20826.63
A0A0H2WXB4	7.91,,40269.14
A0A0H2WXD9	8.81,,25284.81
A0A0H2WXE3	5.79,,42851.9
A0A0H2WXT4	8.46,,59339.67
A0A0H2WXU4	5.01,,39279.65
A0A0H2WY00	4.66,,52571.57
A0A0H2WY40	6.08,,31004.09
A0A0H2WY61	9.91,,26686.83
A0A0H2WYD2	5.28,,48548.62
A0A0H2WYE2	5.43,,16136.41
A0A0H2WYH9	5.62,,31668.9
A0A0H2WYJ9	9.2,,21311.24
A0A0H2WYM6	9.08,,31198.59
A0A0H2WYP2	9.25,,50705.21
A0A0H2WYT5	5.24,,64555.54
A0A0H2WYV4	8.87,,50937.61
A0A0H2WYW1	5.23,,39337.86
A0A0H2WYW9	9.6,,14811.85
A0A0H2WZ06	9.19,,15733.67
A0A0H2WZ29	4.55,,49910.42
A0A0H2WZ39	5.43,,31865.65
A0A0H2WZ77	7.16,,29171.53
A0A0H2WZ86	4.91,,23514.02
A0A0H2WZB1	4.58,,43741.08
A0A0H2WZC2	9.13,,55090.76
A0A0H2WZF0	5.03,,31471.66
A0A0H2WZG1	9.74,,25026.03
A0A0H2WZG9	5.1,,14963.87
A0A0H2WZJ1	5.35,,24282.78
A0A0H2WZL1	5.29,,39783.34
A0A0H2WZM0	6.28,,69855.69
A0A0H2WZQ6	6.15,,29875.2
A0A0H2WZW3	5.74,,44168.49
A0A0H2WZX2	4.83,,40742.09
A0A0H2WZY6	9.61,,15225.7
A0A0H2WZZ2	8.5,,68318.34
A0A0H2X027	5.73,,63743.52
A0A0H2X029	6.51,,68478.36
A0A0H2X037	4.84,,47117.9
A0A0H2X0A1	5.04,,28752.36
A0A0H2X0B5	4.74,,35611.96
A0A0H2X0C4	5.04,,35395.44
A0A0H2X1A6	4.95,,38451.81
A0A0H2X1G4	5.42,,20856.68
A0A0H2YY22	5.32,,37224.1
A0A0H2Z6P1	9.61,,28173.57
A0A0H2Z6X6	6.82,,8821.9
A0A0H2Z7B7	5.64,,40652.27
A0A0H2Z892	9.04,,26121.23
A0A0H2Z8T0	6.09,,87183.61
A0A0H2Z968	6.02,,13946.69
A0A0H2Z9A9	4.94,,36353.89
A0A0H2Z9C3	5.32,,30778.05
A0A0H2Z9M5	4.86,,35250.67
A0A0H2Z9S0	4.24,,11109.68
A0A0H2Z9U4	5.63,,83191.78
A0A0H2ZA56	8.45,,83677.69
A0A0H2ZA93	9.99,,34993.19
A0A0H2ZAH9	6.84,,41580.97
A0A0H2ZAX4	5.59,,50520.73
A0A0H2ZBE7	6.69,,49157.41
A0A0H2ZBR4	8.92,,43671.08
A0A0H2ZCG9	6.54,,62751.61
A0A0H2ZCW9	5.98,,27914.01
A0A0H2ZD39	6.5,,25434.99
A0A0H2ZDN1	5.42,,42505.25
A0A0H2ZE32	4.85,,11569.05
A0A0H2ZEH0	5.99,,88433.49
A0A0H2ZEZ6	5.69,,13752.78
A0A0H2ZF94	10.32,,29979.79
A0A0H2ZFZ7	9.88,,15113.64
A0A0H2ZGH6	6.85,,43789.86
A0A0H2ZGM4	5.41,,164527.96
A0A0H2ZGY3	8.93,,83414.29
A0A0H2ZHP8	7.2,,34729.78
A0A0H2ZHV0	5.53,,42527.23
A0A0H2ZI65	5.72,,13961.81
A0A0H2ZIH9	8.78,,43266.67
A0A0H2ZIW7	10.6,,34554.86
A0A0H2ZK24	5.85,,121486.7
A0A0H2ZLD8	5.51,,36288.11
A0A0H2ZLE0	4.82,,69282.68
A0A0H2ZLH0	5.08,,37879.06
A0A0H2ZLI5	5.62,,65358.66
A0A0H2ZLT2	5.05,,43895.79
A0A0H2ZLY8	5.15,,35443.65
A0A0H2ZLZ4	4.62,,37798.26
A0A0H2ZM91	4.63,,30184.82
A0A0H2ZMK9	4.83,,47174.84
A0A0H2ZMP5	6.59,,11383.16
A0A0H2ZMS9	5.66,,61062.17
A0A0H2ZMV7	5.46,,55063.34
A0A0H2ZN13	4.79,,95350.43
A0A0H2ZN54	5.03,,85153.98
A0A0H2ZN64	5.24,,207478.98
A0A0H2ZN99	5.05,,27117.45
A0A0H2ZNG3	9.57,,11808.81
A0A0H2ZNG8	5.32,,81592.29
A0A0H2ZNI4	4.93,,50322.26
A0A0H2ZNM6	5.31,,34177.34
A0A0H2ZNN6	5.45,,134801.65
A0A0H2ZNS9	5.19,,54708.86
A0A0H2ZNX1	4.69,,15156.1
A0A0H2ZNX3	4.75,,28874.75
A0A0H2ZP62	5.23,,47938.56
A0A0H2ZP84	5.68,,35451
A0A0H2ZPA7	5.14,,36572.4
A0A0H2ZPC6	4.99,,28136.37
A0A0H2ZPG7	4.68,,51541.51
A0A0H2ZPI5	5.21,,213908.08
A0A0H2ZPL5	5.1,,27351.35
A0A0H2ZPN9	7.11,,75795.19
A0A0H2ZPQ1	5.23,,125110.02
A0A0H2ZPS0	4.47,,47466.57
A0A0H2ZPS7	4.85,,37109.73
A0A0H2ZPT1	6.36,,45862.59
A0A0H2ZPT5	5.11,,49474.77
A0A0H2ZQ65	5.47,,37042.99
A0A0H2ZQ87	4.89,,42439.52
A0A0H2ZQE0	5.04,,54754.4
A0A0H2ZQE4	5.1,,87821.97
A0A0H2ZQF3	5.11,,93487.92
A0A0H2ZQI4	4.91,,48997.77
A0A0H2ZQW0	5.41,,17351.21
A0A0H2ZR12	5.16,,180263.7
A0A0H2ZR39	9.1,,10429.18
A0A0H2ZR50	4.87,,27352.77
A0A0H2ZR80	5.11,,26622.58
A0A0H2ZRA8	5.81,,237680.35
A0A0H2ZRF0	5.57,,91572.55
A0A0H3BNJ9	9.38,,34270.66
A0A0H3FL20	5.19,,39787.38
A0A0H3GE39	5.02,,66729.66
A0A0H3GGT0	5.15,,30024.1
A0A0H3GIV1	5.15,,28534.58
A0A0H3GJV8	5.23,,52433.75
A0A0H3GSB6	5.53,,45517.19
A0A0H3JDM8	6.12,,38393.4
A0A0H3JF05	6.43,,70830.35
A0A0H3K684	4.98,,18539.12
A0A0H3K6P9	5.65,,68713.64
A0A0H3K743	5.16,,74885.53
A0A0H3K7D0	4.5,,9495.72
A0A0H3K7F4	6.84,,17089.47
A0A0H3K7L0	4.37,,11440.17
A0A0H3K8E2	4.58,,43741.08
A0A0H3K8I6	6.46,,74363.84
A0A0H3K8Q4	5.23,,63102.28
A0A0H3K8V5	5.08,,15643
A0A0H3K9E4	5.76,,29956.9
A0A0H3K9P0	4.3,,12204.77
A0A0H3K9T2	5.01,,30836.06
A0A0H3KA72	8.46,,17435.03
A0A0H3KAP0	5.73,,24931.29
A0A0H3KBK6	4.89,,36280.86
A0A0H3KCE0	5.79,,13385.24
A0A0H3KCP9	5.76,,43538.46
A0A0H3KCZ3	4.98,,42170.81
A0A0H3KDS2	4.61,,7586.47
A0A0H3KE94	6.07,,10006.3
A0A0H3KFC4	5.47,,47330.96
A0A0H3KFD1	4.96,,98303.44
A0A0H3KFQ9	5.16,,18580.88
A0A0H3KFX1	4.87,,41036.92
A0A0H3KGZ9	5.14,,27122.25
A0A0H3M0I9	7.76,,39568.18
A0A0H3M0K6	9.76,,61240.55
A0A0H3M0L5	8.19,,8745.89
A0A0H3M0M7	5.15,,21612.58
A0A0H3M0M9	7.67,,16259.89
A0A0H3M0P5	5.41,,167859.97
A0A0H3M0Q5	5.74,,61141.3
A0A0H3M0R6	5.95,,21975.14
A0A0H3M0V2	5.58,,25911.8
A0A0H3M0X2	4.81,,23520.32
A0A0H3M0X9	9.7,,45745.2
A0A0H3M0Z1	6.49,,35788.58
A0A0H3M102	4.87,,45596.88
A0A0H3M143	9.78,,50610.83
A0A0H3M173	5.11,,71447.72
A0A0H3M187	8.07,,32412.91
A0A0H3M194	9.8,,50036.84
A0A0H3M199	8.12,,12356.32
A0A0H3M1A4	6.79,,95414.67
A0A0H3M1A8	10.18,,53018.99
A0A0H3M1B0	5.96,,27339.58
A0A0H3M1C1	5.52,,269427.29
A0A0H3M1E3	8.61,,27561.91
A0A0H3M1E6	10.13,,31801.42
A0A0H3M1F0	4.83,,43593.6
A0A0H3M1F9	9.21,,55035.13
A0A0H3M1H5	9.78,,47163.73
A0A0H3M1J6	5.58,,42003.06
A0A0H3M1J7	6.33,,40982.74
A0A0H3M1K1	10.57,,28253.05
A0A0H3M1N7	9.97,,59139.24
A0A0H3M1P9	6.04,,46830.21
A0A0H3M1R0	5.22,,15364.15
A0A0H3M1R4	4.94,,19063.61
A0A0H3M1S1	5.91,,32203.47
A0A0H3M1S9	7.84,,30465.64
A0A0H3M1U6	10.06,,50202.51
A0A0H3M1X8	9.95,,25613.36
A0A0H3M1Y5	9.55,,30968.06
A0A0H3M204	6.73,,36597.04
A0A0H3M210	4.9,,29982.28
A0A0H3M225	9.42,,31933.35
A0A0H3M245	5.68,,39394.29
A0A0H3M263	5.92,,50291.48
A0A0H3M2A5	9.74,,21304.6
A0A0H3M2C1	10.63,,45597.04
A0A0H3M2C2	5.53,,45895.95
A0A0H3M2D9	5.09,,36047.78
A0A0H3M2E0	6.85,,30819.06
A0A0H3M2E1	6.32,,20716.55
A0A0H3M2E5	5.12,,17353.11
A0A0H3M2E7	5.33,,33092.09
A0A0H3M2G7	5.39,,31925.26
A0A0H3M2H1	6.81,,43054.53
A0A0H3M2H3	9.17,,45841.54
A0A0H3M2H5	6.45,,36219.16
A0A0H3M2I6	5.74,,14830.79
A0A0H3M2K4	9.04,,15021.05
A0A0H3M2K8	4.53,,31504.12
A0A0H3M2M1	6.57,,44694.22
A0A0H3M2N0	4.9,,37693.86
A0A0H3M2Q0	4.86,,22355.96
A0A0H3M2R5	8.71,,10364.83
A0A0H3M2S1	6.75,,18515.97
A0A0H3M2S6	9.48,,100884.42
A0A0H3M2T4	5.36,,85049.88
A0A0H3M2U2	8.68,,28549.18
A0A0H3M2V0	9.53,,143113.54
A0A0H3M2W3	5.98,,46436.52
A0A0H3M310	9.03,,47974
A0A0H3M322	9.87,,25052.15
A0A0H3M336	4.9,,28830.4
A0A0H3M338	6,,31990.71
A0A0H3M349	5.25,,6900.41
A0A0H3M363	5.73,,72864.89
A0A0H3M375	5.1,,11061.82
A0A0H3M379	5.69,,22987.19
A0A0H3M380	8.4,,41315.05
A0A0H3M389	6.1,,22916.41
A0A0H3M3A0	10.14,,36345.63
A0A0H3M3A7	5.42,,76134.11
A0A0H3M3B6	5.51,,67580.22
A0A0H3M3C6	5.52,,51575.39
A0A0H3M3E7	5.08,,13121.01
A0A0H3M3F1	6.77,,41318.19
A0A0H3M3F6	8.46,,19388.29
A0A0H3M3G2	4.51,,6394.06
A0A0H3M3G7	9.5,,21737.76
A0A0H3M3I2	7.11,,25229.68
A0A0H3M3L4	5.53,,49239.14
A0A0H3M3M4	6.1,,70167.53
A0A0H3M3M8	4.78,,9556.7
A0A0H3M3P3	4.52,,23461.13
A0A0H3M3P5	7.1,,41311.38
A0A0H3M3R1	4.82,,24879.47
A0A0H3M3R7	4.53,,33880.46
A0A0H3M3S8	5.07,,21789.45
A0A0H3M3V5	6.41,,83390.11
A0A0H3M429	6.9,,43453.51
A0A0H3M454	4.7,,25446.59
A0A0H3M469	5.22,,27648.87
A0A0H3M480	6.77,,104943.71
A0A0H3M499	5.35,,220443.84
A0A0H3M4A3	5.65,,57503.48
A0A0H3M4A6	5.09,,33925.09
A0A0H3M4A7	5.91,,49520.38
A0A0H3M4G7	5.24,,56161.68
A0A0H3M4G9	5.31,,166943.72
A0A0H3M4H4	6.2,,65021.86
A0A0H3M4H7	5.75,,37321.85
A0A0H3M4J7	8.05,,11449.18
A0A0H3M4J8	5.22,,95521.39
A0A0H3M4M1	5.68,,70744.56
A0A0H3M4M5	5.68,,60512.23
A0A0H3M4P2	5.72,,47829.32
A0A0H3M4T3	5.7,,31788.52
A0A0H3M4U0	8.74,,71303.15
A0A0H3M4U3	6.31,,30644.91
A0A0H3M4X4	4.93,,43639.32
A0A0H3M4Y2	8.76,,25697.22
A0A0H3M4Z4	4.68,,39518.18
A0A0H3M520	5.85,,62771.37
A0A0H3M565	4.74,,27322.49
A0A0H3M566	5.35,,59624.56
A0A0H3M589	5.31,,50141
A0A0H3M591	5,,16227.28
A0A0H3M597	10.6,,37016.75
A0A0H3M5C2	9.36,,82856.4
A0A0H3M5G6	9.65,,60034.23
A0A0H3M5I0	8.03,,64337.08
A0A0H3M5I9	10.05,,56650.39
A0A0H3M5J1	4.95,,54182.64
A0A0H3M5J3	6.2,,25964.5
A0A0H3M5J6	9.69,,41109.14
A0A0H3M5K2	9.64,,72537
A0A0H3M5L8	9.66,,26955.1
A0A0H3M5M1	6.91,,13487.51
A0A0H3M5N5	9.21,,68304.66
A0A0H3M5N6	9.35,,22496.1
A0A0H3M5P8	4.47,,67060.36
A0A0H3M5S4	4.9,,57073.69
A0A0H3M5S8	7.1,,109138.03
A0A0H3M5T7	6.12,,38936.79
A0A0H3M5V0	5.74,,50136.03
A0A0H3M5V1	4.84,,69612.2
A0A0H3M5V7	9.51,,27442.29
