Protein	MSA ID
A0A0H2VTZ4	N/A
A0A0H2VUP7	N/A
A0A0H2VUT9	N/A
A0A0H2VUW9	N/A
A0A0H2VUZ8	N/A
A0A0H2VV08	N/A
A0A0H2VV29	N/A
A0A0H2VV39	N/A
A0A0H2VV44	N/A
A0A0H2VV48	N/A
A0A0H2VVB7	N/A
A0A0H2VVC0	N/A
A0A0H2VVD2	N/A
A0A0H2VVG5	N/A
A0A0H2VVI1	N/A
A0A0H2VVP2	N/A
A0A0H2VVS9	N/A
A0A0H2VVU1	N/A
A0A0H2VW13	N/A
A0A0H2VW22	N/A
A0A0H2VW26	N/A
A0A0H2VW51	N/A
A0A0H2VWL1	N/A
A0A0H2VWM2	N/A
A0A0H2VX20	N/A
A0A0H2VX23	N/A
A0A0H2VX42	N/A
A0A0H2VX83	N/A
A0A0H2VXB8	N/A
A0A0H2VXH5	N/A
A0A0H2VXM7	N/A
A0A0H2VXW3	N/A
A0A0H2VXW8	N/A
A0A0H2VXY8	N/A
A0A0H2VXZ9	N/A
A0A0H2VY02	N/A
A0A0H2VY20	N/A
A0A0H2VY68	N/A
A0A0H2VYF0	N/A
A0A0H2VYF7	N/A
A0A0H2VYP7	N/A
A0A0H2VYQ8	N/A
A0A0H2VYU4	N/A
A0A0H2VYX6	N/A
A0A0H2VZ63	N/A
A0A0H2VZN3	N/A
A0A0H2VZP1	N/A
A0A0H2VZQ5	N/A
A0A0H2VZS4	N/A
A0A0H2VZY7	N/A
A0A0H2W006	N/A
A0A0H2W0B9	N/A
A0A0H2W0C8	N/A
A0A0H2W0D3	N/A
A0A0H2W0I3	N/A
A0A0H2W0M7	N/A
A0A0H2W0U1	N/A
A0A0H2W120	N/A
A0A0H2WVE0	N/A
A0A0H2WVJ7	N/A
A0A0H2WVT9	N/A
A0A0H2WVU2	N/A
A0A0H2WVX8	N/A
A0A0H2WW08	N/A
A0A0H2WW42	N/A
A0A0H2WW50	N/A
A0A0H2WW54	N/A
A0A0H2WW67	N/A
A0A0H2WW68	N/A
A0A0H2WW75	N/A
A0A0H2WWC0	N/A
A0A0H2WWE9	N/A
A0A0H2WWF0	N/A
A0A0H2WWF4	N/A
A0A0H2WWN8	N/A
A0A0H2WWP2	N/A
A0A0H2WWR5	N/A
A0A0H2WWV4	N/A
A0A0H2WWV6	N/A
A0A0H2WWV7	N/A
A0A0H2WWY8	N/A
A0A0H2WX02	N/A
A0A0H2WX21	N/A
A0A0H2WX37	N/A
A0A0H2WX88	N/A
A0A0H2WXA4	N/A
A0A0H2WXA5	N/A
A0A0H2WXB1	N/A
A0A0H2WXB4	N/A
A0A0H2WXD9	N/A
A0A0H2WXE3	N/A
A0A0H2WXT4	N/A
A0A0H2WXU4	N/A
A0A0H2WY00	N/A
A0A0H2WY40	N/A
A0A0H2WY61	N/A
A0A0H2WYD2	N/A
A0A0H2WYE2	N/A
A0A0H2WYH9	N/A
A0A0H2WYJ9	N/A
A0A0H2WYM6	N/A
A0A0H2WYP2	N/A
A0A0H2WYT5	N/A
A0A0H2WYV4	N/A
A0A0H2WYW1	N/A
A0A0H2WYW9	N/A
A0A0H2WZ06	N/A
A0A0H2WZ29	N/A
A0A0H2WZ39	N/A
A0A0H2WZ77	N/A
A0A0H2WZ86	N/A
A0A0H2WZB1	N/A
A0A0H2WZC2	N/A
A0A0H2WZF0	N/A
A0A0H2WZG1	N/A
A0A0H2WZG9	N/A
A0A0H2WZJ1	N/A
A0A0H2WZL1	N/A
A0A0H2WZM0	N/A
A0A0H2WZQ6	N/A
A0A0H2WZW3	N/A
A0A0H2WZX2	N/A
A0A0H2WZY6	N/A
A0A0H2WZZ2	N/A
A0A0H2X027	N/A
A0A0H2X029	N/A
A0A0H2X037	N/A
A0A0H2X0A1	N/A
A0A0H2X0B5	N/A
A0A0H2X0C4	N/A
A0A0H2X1A6	N/A
A0A0H2X1G4	N/A
A0A0H2YY22	N/A
A0A0H2Z6P1	N/A
A0A0H2Z6X6	N/A
A0A0H2Z7B7	N/A
A0A0H2Z892	N/A
A0A0H2Z8T0	N/A
A0A0H2Z968	N/A
A0A0H2Z9A9	N/A
A0A0H2Z9C3	N/A
A0A0H2Z9M5	N/A
A0A0H2Z9S0	N/A
A0A0H2Z9U4	N/A
A0A0H2ZA56	N/A
A0A0H2ZA93	N/A
A0A0H2ZAH9	N/A
A0A0H2ZAX4	N/A
A0A0H2ZBE7	N/A
A0A0H2ZBR4	N/A
A0A0H2ZCG9	N/A
A0A0H2ZCW9	N/A
A0A0H2ZD39	N/A
A0A0H2ZDN1	N/A
A0A0H2ZE32	N/A
A0A0H2ZEH0	N/A
A0A0H2ZEZ6	N/A
A0A0H2ZF94	N/A
A0A0H2ZFZ7	N/A
A0A0H2ZGH6	N/A
A0A0H2ZGM4	N/A
A0A0H2ZGY3	N/A
A0A0H2ZHP8	N/A
A0A0H2ZHV0	N/A
A0A0H2ZI65	N/A
A0A0H2ZIH9	N/A
A0A0H2ZIW7	N/A
A0A0H2ZK24	N/A
A0A0H2ZLD8	N/A
A0A0H2ZLE0	N/A
A0A0H2ZLH0	N/A
A0A0H2ZLI5	N/A
A0A0H2ZLT2	N/A
A0A0H2ZLY8	N/A
A0A0H2ZLZ4	N/A
A0A0H2ZM91	N/A
A0A0H2ZMK9	N/A
A0A0H2ZMP5	N/A
A0A0H2ZMS9	N/A
A0A0H2ZMV7	N/A
A0A0H2ZN13	N/A
A0A0H2ZN54	N/A
A0A0H2ZN64	N/A
A0A0H2ZN99	N/A
A0A0H2ZNG3	N/A
A0A0H2ZNG8	N/A
A0A0H2ZNI4	N/A
A0A0H2ZNM6	N/A
A0A0H2ZNN6	N/A
A0A0H2ZNS9	N/A
A0A0H2ZNX1	N/A
A0A0H2ZNX3	N/A
A0A0H2ZP62	N/A
A0A0H2ZP84	N/A
A0A0H2ZPA7	N/A
A0A0H2ZPC6	N/A
A0A0H2ZPG7	N/A
A0A0H2ZPI5	N/A
A0A0H2ZPL5	N/A
A0A0H2ZPN9	N/A
A0A0H2ZPQ1	N/A
A0A0H2ZPS0	N/A
A0A0H2ZPS7	N/A
A0A0H2ZPT1	N/A
A0A0H2ZPT5	N/A
A0A0H2ZQ65	N/A
A0A0H2ZQ87	N/A
A0A0H2ZQE0	N/A
A0A0H2ZQE4	N/A
A0A0H2ZQF3	N/A
A0A0H2ZQI4	N/A
A0A0H2ZQW0	N/A
A0A0H2ZR12	N/A
A0A0H2ZR39	N/A
A0A0H2ZR50	N/A
A0A0H2ZR80	N/A
A0A0H2ZRA8	N/A
A0A0H2ZRF0	N/A
A0A0H3BNJ9	N/A
A0A0H3FL20	N/A
A0A0H3GE39	N/A
A0A0H3GGT0	N/A
A0A0H3GIV1	N/A
A0A0H3GJV8	N/A
A0A0H3GSB6	N/A
A0A0H3JDM8	N/A
A0A0H3JF05	N/A
A0A0H3K684	N/A
A0A0H3K6P9	N/A
A0A0H3K743	N/A
A0A0H3K7D0	N/A
A0A0H3K7F4	N/A
A0A0H3K7L0	N/A
A0A0H3K8E2	N/A
A0A0H3K8I6	N/A
A0A0H3K8Q4	N/A
A0A0H3K8V5	N/A
A0A0H3K9E4	N/A
A0A0H3K9P0	N/A
A0A0H3K9T2	N/A
A0A0H3KA72	N/A
A0A0H3KAP0	N/A
A0A0H3KBK6	N/A
A0A0H3KCE0	N/A
A0A0H3KCP9	N/A
A0A0H3KCZ3	N/A
A0A0H3KDS2	N/A
A0A0H3KE94	N/A
A0A0H3KFC4	N/A
A0A0H3KFD1	N/A
A0A0H3KFQ9	N/A
A0A0H3KFX1	N/A
A0A0H3KGZ9	N/A
A0A0H3M0I9	N/A
A0A0H3M0K6	N/A
A0A0H3M0L5	N/A
A0A0H3M0M7	N/A
A0A0H3M0M9	N/A
A0A0H3M0P5	N/A
A0A0H3M0Q5	N/A
A0A0H3M0R6	N/A
A0A0H3M0V2	N/A
A0A0H3M0X2	N/A
A0A0H3M0X9	N/A
A0A0H3M0Z1	N/A
A0A0H3M102	N/A
A0A0H3M143	N/A
A0A0H3M173	N/A
A0A0H3M187	N/A
A0A0H3M194	N/A
A0A0H3M199	N/A
A0A0H3M1A4	N/A
A0A0H3M1A8	N/A
A0A0H3M1B0	N/A
A0A0H3M1C1	N/A
A0A0H3M1E3	N/A
A0A0H3M1E6	N/A
A0A0H3M1F0	N/A
A0A0H3M1F9	N/A
A0A0H3M1H5	N/A
A0A0H3M1J6	N/A
A0A0H3M1J7	N/A
A0A0H3M1K1	N/A
A0A0H3M1N7	N/A
A0A0H3M1P9	N/A
A0A0H3M1R0	N/A
A0A0H3M1R4	N/A
A0A0H3M1S1	N/A
A0A0H3M1S9	N/A
A0A0H3M1U6	N/A
A0A0H3M1X8	N/A
A0A0H3M1Y5	N/A
A0A0H3M204	N/A
A0A0H3M210	N/A
A0A0H3M225	N/A
A0A0H3M245	N/A
A0A0H3M263	N/A
A0A0H3M2A5	N/A
A0A0H3M2C1	N/A
A0A0H3M2C2	N/A
A0A0H3M2D9	N/A
A0A0H3M2E0	N/A
A0A0H3M2E1	N/A
A0A0H3M2E5	N/A
A0A0H3M2E7	N/A
A0A0H3M2G7	N/A
A0A0H3M2H1	N/A
A0A0H3M2H3	N/A
A0A0H3M2H5	N/A
A0A0H3M2I6	N/A
A0A0H3M2K4	N/A
A0A0H3M2K8	N/A
A0A0H3M2M1	N/A
A0A0H3M2N0	N/A
A0A0H3M2Q0	N/A
A0A0H3M2R5	N/A
A0A0H3M2S1	N/A
A0A0H3M2S6	N/A
A0A0H3M2T4	N/A
A0A0H3M2U2	N/A
A0A0H3M2V0	N/A
A0A0H3M2W3	N/A
A0A0H3M310	N/A
A0A0H3M322	N/A
A0A0H3M336	N/A
A0A0H3M338	N/A
A0A0H3M349	N/A
A0A0H3M363	N/A
A0A0H3M375	N/A
A0A0H3M379	N/A
A0A0H3M380	N/A
A0A0H3M389	N/A
A0A0H3M3A0	N/A
A0A0H3M3A7	N/A
A0A0H3M3B6	N/A
A0A0H3M3C6	N/A
A0A0H3M3E7	N/A
A0A0H3M3F1	N/A
A0A0H3M3F6	N/A
A0A0H3M3G2	N/A
A0A0H3M3G7	N/A
A0A0H3M3I2	N/A
A0A0H3M3L4	N/A
A0A0H3M3M4	N/A
A0A0H3M3M8	N/A
A0A0H3M3P3	N/A
A0A0H3M3P5	N/A
A0A0H3M3R1	N/A
A0A0H3M3R7	N/A
A0A0H3M3S8	N/A
A0A0H3M3V5	N/A
A0A0H3M429	N/A
A0A0H3M454	N/A
A0A0H3M469	N/A
A0A0H3M480	N/A
A0A0H3M499	N/A
A0A0H3M4A3	N/A
A0A0H3M4A6	N/A
A0A0H3M4A7	N/A
A0A0H3M4G7	N/A
A0A0H3M4G9	N/A
A0A0H3M4H4	N/A
A0A0H3M4H7	N/A
A0A0H3M4J7	N/A
A0A0H3M4J8	N/A
A0A0H3M4M1	N/A
A0A0H3M4M5	N/A
A0A0H3M4P2	N/A
A0A0H3M4T3	N/A
A0A0H3M4U0	N/A
A0A0H3M4U3	N/A
A0A0H3M4X4	N/A
A0A0H3M4Y2	N/A
A0A0H3M4Z4	N/A
A0A0H3M520	N/A
A0A0H3M565	N/A
A0A0H3M566	N/A
A0A0H3M589	N/A
A0A0H3M591	N/A
A0A0H3M597	N/A
A0A0H3M5C2	N/A
A0A0H3M5G6	N/A
A0A0H3M5I0	N/A
A0A0H3M5I9	N/A
A0A0H3M5J1	N/A
A0A0H3M5J3	N/A
A0A0H3M5J6	N/A
A0A0H3M5K2	N/A
A0A0H3M5L8	N/A
A0A0H3M5M1	N/A
A0A0H3M5N5	N/A
A0A0H3M5N6	N/A
A0A0H3M5P8	N/A
A0A0H3M5S4	N/A
A0A0H3M5S8	N/A
A0A0H3M5T7	N/A
A0A0H3M5V0	N/A
A0A0H3M5V1	N/A
A0A0H3M5V7	N/A
A0A0H3M5W6	N/A
A0A0H3M5X7	N/A
A0A0H3M5Z5	N/A
A0A0H3M5Z7	N/A
A0A0H3M610	N/A
A0A0H3M624	N/A
A0A0H3M638	N/A
A0A0H3M639	N/A
A0A0H3M647	N/A
A0A0H3M648	N/A
A0A0H3M677	N/A
A0A0H3M694	N/A
A0A0H3M6A1	N/A
A0A0H3M6B2	N/A
A0A0H3M6B9	N/A
A0A0H3M6E1	N/A
A0A0H3M6F5	N/A
A0A0H3M6H3	N/A
A0A0H3M6I8	N/A
A0A0H3M6I9	N/A
A0A0H3M6J3	N/A
A0A0H3M6L3	N/A
A0A0H3M6N8	N/A
A0A0H3M6Q0	N/A
A0A0H3M6S7	N/A
A0A0H3M6T3	N/A
A0A0H3M6U0	N/A
A0A0H3M6U5	N/A
A0A0H3M6U9	N/A
A0A0H3M6V0	N/A
A0A0H3M6W3	N/A
A0A0H3M6Y7	N/A
A0A0H3M6Y9	N/A
A0A0H3M714	N/A
A0A0H3M719	N/A
A0A0H3M729	N/A
A0A0H3M737	N/A
A0A0H3M741	N/A
A0A0H3M745	N/A
A0A0H3M746	N/A
A0A0H3M751	N/A
A0A0H3M760	N/A
A0A0H3M763	N/A
A0A0H3M781	N/A
A0A0H3M782	N/A
A0A0H3M795	N/A
A0A0H3M7A7	N/A
A0A0H3M7A9	N/A
A0A0H3M7E0	N/A
A0A0H3M7E1	N/A
A0A0H3M7E6	N/A
A0A0H3M7F4	N/A
A0A0H3M7F7	N/A
A0A0H3M7G2	N/A
A0A0H3M7I8	N/A
A0A0H3M7K2	N/A
A0A0H3M7L7	N/A
A0A0H3M7N1	N/A
A0A0H3M7N2	N/A
A0A0H3M7R2	N/A
A0A0H3M7R3	N/A
A0A0H3M7R8	N/A
A0A0H3M7S4	N/A
A0A0H3M7T9	N/A
A0A0H3M7U1	N/A
A0A0H3M7U4	N/A
A0A0H3M7V7	N/A
A0A0H3M7V8	N/A
A0A0H3M7W0	N/A
A0A0H3M7W2	N/A
A0A0H3M7W9	N/A
A0A0H3M7X4	N/A
A0A0H3M7Y1	N/A
A0A0H3M807	N/A
A0A0H3M808	N/A
A0A0H3M812	N/A
A0A0H3M819	N/A
A0A0H3M828	N/A
A0A0H3M839	N/A
A0A0H3M854	N/A
A0A0H3M855	N/A
A0A0H3M872	N/A
A0A0H3M887	N/A
A0A0H3M8B0	N/A
A0A0H3M8B1	N/A
A0A0H3M8B9	N/A
A0A0H3M8C2	N/A
A0A0H3M8C4	N/A
A0A0H3M8D6	N/A
A0A0H3M8D8	N/A
A0A0H3M8D9	N/A
A0A0H3M8G7	N/A
A0A0H3M8I0	N/A
A0A0H3M8I5	N/A
A0A0H3M8I8	N/A
A0A0H3M8J5	N/A
A0A0H3M8L2	N/A
A0A0H3M8M4	N/A
A0A0H3M8M5	N/A
A0A0H3M8N3	N/A
A0A0H3M8R2	N/A
A0A0H3M8R9	N/A
A0A0H3M8S5	N/A
A0A0H3M8T0	N/A
A0A0H3M8T6	N/A
A0A0H3M8U8	N/A
A0A0H3M8V5	N/A
A0A0H3M8V9	N/A
A0A0H3M8W1	N/A
A0A0H3M902	N/A
A0A0H3M918	N/A
A0A0H3M924	N/A
A0A0H3M938	N/A
A0A0H3M941	N/A
A0A0H3M949	N/A
A0A0H3M957	N/A
A0A0H3M966	N/A
A0A0H3M967	N/A
A0A0H3M978	N/A
A0A0H3M9A4	N/A
A0A0H3M9A9	N/A
A0A0H3M9B4	N/A
A0A0H3M9D1	N/A
A0A0H3M9E6	N/A
A0A0H3M9F1	N/A
A0A0H3M9G9	N/A
A0A0H3M9I9	N/A
A0A0H3M9N5	N/A
A0A0H3M9Q6	N/A
A0A0H3M9R4	N/A
A0A0H3M9R5	N/A
A0A0H3M9U0	N/A
A0A0H3M9U1	N/A
A0A0H3M9U9	N/A
A0A0H3M9V1	N/A
A0A0H3M9W9	N/A
A0A0H3M9X1	N/A
A0A0H3M9X2	N/A
A0A0H3M9X3	N/A
A0A0H3M9Y5	N/A
A0A0H3M9Y6	N/A
A0A0H3M9Z4	N/A
A0A0H3M9Z9	N/A
A0A0H3MA19	N/A
A0A0H3MA24	N/A
A0A0H3MA47	N/A
A0A0H3MA58	N/A
A0A0H3MA65	N/A
A0A0H3MA76	N/A
A0A0H3MA81	N/A
A0A0H3MAA5	N/A
A0A0H3MAA7	N/A
A0A0H3MAB7	N/A
A0A0H3MAC0	N/A
A0A0H3MAC3	N/A
A0A0H3MAD3	N/A
A0A0H3MAE6	N/A
A0A0H3MAE7	N/A
A0A0H3MAE9	N/A
A0A0H3MAF8	N/A
A0A0H3MAG0	N/A
A0A0H3MAG2	N/A
A0A0H3MAG4	N/A
A0A0H3MAG8	N/A
A0A0H3MAH9	N/A
A0A0H3MAK0	N/A
A0A0H3MAK2	N/A
A0A0H3MAK4	N/A
A0A0H3MAK5	N/A
A0A0H3MAK6	N/A
A0A0H3MAL0	N/A
A0A0H3MAQ9	N/A
A0A0H3MAR7	N/A
A0A0H3MAR8	N/A
A0A0H3MAT3	N/A
A0A0H3MAU2	N/A
A0A0H3MAU9	N/A
A0A0H3MAV4	N/A
A0A0H3MAV9	N/A
A0A0H3MAW1	N/A
A0A0H3MAW6	N/A
A0A0H3MB17	N/A
A0A0H3MB30	N/A
A0A0H3MB40	N/A
A0A0H3MB56	N/A
A0A0H3MB60	N/A
A0A0H3MB66	N/A
A0A0H3MB70	N/A
A0A0H3MB83	N/A
A0A0H3MB89	N/A
A0A0H3MB94	N/A
A0A0H3MBD1	N/A
A0A0H3MBD5	N/A
A0A0H3MBE3	N/A
A0A0H3MBF0	N/A
A0A0H3MBG5	N/A
A0A0H3MBG7	N/A
A0A0H3MBJ4	N/A
A0A0H3MBK0	N/A
A0A0H3MBK5	N/A
A0A0H3MBL6	N/A
A0A0H3MBN3	N/A
A0A0H3MBP1	N/A
A0A0H3MBR3	N/A
A0A0H3MBS4	N/A
A0A0H3MBT3	N/A
A0A0H3MBU7	N/A
A0A0H3MBV8	N/A
A0A0H3MBW3	N/A
A0A0H3MBX2	N/A
A0A0H3MBX6	N/A
A0A0H3MBZ0	N/A
A0A0H3MBZ9	N/A
A0A0H3MC10	N/A
A0A0H3MC15	N/A
A0A0H3MC20	N/A
A0A0H3MC34	N/A
A0A0H3MC44	N/A
A0A0H3MC47	N/A
A0A0H3MC48	N/A
A0A0H3MC59	N/A
A0A0H3MC64	N/A
A0A0H3MC72	N/A
A0A0H3MCA7	N/A
A0A0H3MCC0	N/A
A0A0H3MCD2	N/A
A0A0H3MCE9	N/A
A0A0H3MCF3	N/A
A0A0H3MCH2	N/A
A0A0H3MCI2	N/A
A0A0H3MCI6	N/A
A0A0H3MCK0	N/A
A0A0H3MCL7	N/A
A0A0H3MCP0	N/A
A0A0H3MCQ3	N/A
A0A0H3MCR5	N/A
A0A0H3MCS0	N/A
A0A0H3MCU0	N/A
A0A0H3MCV3	N/A
A0A0H3MCW1	N/A
A0A0H3MCX2	N/A
A0A0H3MCY2	N/A
A0A0H3MCY6	N/A
A0A0H3MD07	N/A
A0A0H3MD15	N/A
A0A0H3MD23	N/A
A0A0H3MD27	N/A
A0A0H3MD57	N/A
A0A0H3MD60	N/A
A0A0H3MD77	N/A
A0A0H3MDA4	N/A
A0A0H3MDB6	N/A
A0A0H3MDF0	N/A
A0A0H3MDF4	N/A
A0A0H3MDG1	N/A
A0A0H3MDI0	N/A
A0A0H3MDJ0	N/A
A0A0H3MDJ5	N/A
A0A0H3MDN1	N/A
A0A0H3MDN2	N/A
A0A0H3MDQ0	N/A
A0A0H3MDQ6	N/A
A0A0H3MDR2	N/A
A0A0H3MDR9	N/A
A0A0H3MDS3	N/A
A0A0H3MDU1	N/A
A0A0H3MDV3	N/A
A0A0H3MDW6	N/A
A0A0H3MDX0	N/A
A0A0H3MDX6	N/A
A0A0H3ME13	N/A
A0A0H3ME35	N/A
A0A0H3ME37	N/A
A0A0H3ME46	N/A
A0A0H3ME51	N/A
