Protein	Tax_id,,Tax_name,,Species,,Genus,,Family,,Order,,Class,,Phylum,,Kingdom,,Superkingdom
A0A0E0U955	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0U9B5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0U9V4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0U9W8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UA00	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UA10	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UA27	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UA41	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UAL9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UAM6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UAS4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UB30	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UB34	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UB51	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBA4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBD5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBD6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBH9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBL6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBP0	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBU7	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBV5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UBX6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UC24	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCM8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCS0	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCT0	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCT8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCU7	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCU9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCV1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCX8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UCY2	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UD17	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UD69	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UD90	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UD97	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UDD5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UDL4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UDW5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UEF9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UEH3	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UET8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UEW7	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UEX4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UFF6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UFH5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UFJ1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UFL2	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UG10	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UG46	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UGD4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UGI2	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UGL8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UH56	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UHM0	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UHQ8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UHT8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UHU9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UHV7	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UI25	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UI36	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UIH3	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UII0	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UIQ4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UJ54	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UJ98	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UJC1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UKM9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UKN7	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UKP1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UKY1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UL81	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0ULB5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0ULH8	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UN93	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UN97	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UNG4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UNJ4	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UNP3	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UPG1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UPL1	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UPR3	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UPR9	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UPX2	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UQ72	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UQG5	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0URT6	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0UW41	1030009,,Listeria monocytogenes M7,,Listeria monocytogenes,,Listeria,,Listeriaceae,,Bacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E0UWC2	1030009,,Listeria monocytogenes M7,,Listeria monocytogenes,,Listeria,,Listeriaceae,,Bacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E1EET6	1311,,Streptococcus agalactiae,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E1EL42	1311,,Streptococcus agalactiae,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E1EN14	1311,,Streptococcus agalactiae,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E1R974	1230340,,Listeria monocytogenes serotype 4b str. LL195,,Listeria monocytogenes,,Listeria,,Listeriaceae,,Bacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E1Y3Q6	702458,,Listeria monocytogenes FSL F2-208,,Listeria monocytogenes,,Listeria,,Listeriaceae,,Bacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E2CSW4	1049804,,Leptospira interrogans serovar Bataviae str. L1111,,Leptospira interrogans,,Leptospira,,Leptospiraceae,,Leptospirales,,Spirochaetia,,Spirochaetes,,,,Bacteria
A0A0E2D3A7	1049938,,Leptospira interrogans str. UI 12758,,Leptospira interrogans,,Leptospira,,Leptospiraceae,,Leptospirales,,Spirochaetia,,Spirochaetes,,,,Bacteria
A0A0E3CNN1	47715,,Lactobacillus rhamnosus,,,,Lactobacillus,,Lactobacillaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0E3CRJ7	47715,,Lactobacillus rhamnosus,,,,Lactobacillus,,Lactobacillaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0F0JYS2	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0F6P9K5	72407,,Klebsiella pneumoniae subsp. pneumoniae,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0G2PF30	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9D4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9D8	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9E8	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9E9	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9F8	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9F9	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9G0	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9H1	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9H2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9I7	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0G2Q9K0	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
