Protein	Description
A0A0G2Q9D4	MBOV410289:G1G1S-2-MONOMER;;MBOV410289:G1G1S-37-MONOMER
A0A0G2Q9D8	MBOV410289:G1G1S-42-MONOMER;;MBOV410289:G1G1S-7-MONOMER
A0A0G2Q9E8	MBOV410289:G1G1S-27-MONOMER;;MBOV410289:G1G1S-4355-MONOMER
A0A0G2Q9E9	MBOV410289:G1G1S-28-MONOMER;;MBOV410289:G1G1S-4356-MONOMER
A0A0G2Q9F8	MBOV410289:G1G1S-41-MONOMER;;MBOV410289:G1G1S-6-MONOMER
A0A0G2Q9F9	MBOV410289:G1G1S-11-MONOMER;;MBOV410289:G1G1S-46-MONOMER
A0A0G2Q9G0	MBOV410289:G1G1S-12-MONOMER;;MBOV410289:G1G1S-47-MONOMER
A0A0G2Q9H1	MBOV410289:G1G1S-3565-MONOMER;;MBOV410289:G1G1S-3661-MONOMER
A0A0G2Q9H2	MBOV410289:G1G1S-3566-MONOMER;;MBOV410289:G1G1S-3662-MONOMER
A0A0G2Q9I7	MBOV410289:G1G1S-3582-MONOMER;;MBOV410289:G1G1S-3678-MONOMER
A0A0G2Q9K0	MBOV410289:G1G1S-3656-MONOMER;;MBOV410289:G1G1S-3693-MONOMER
A0A0G2Q9L2	MBOV410289:G1G1S-3576-MONOMER;;MBOV410289:G1G1S-3672-MONOMER
A0A0G2Q9N7	MBOV410289:G1G1S-22-MONOMER;;MBOV410289:G1G1S-4350-MONOMER
A0A0G2Q9N9	MBOV410289:G1G1S-24-MONOMER;;MBOV410289:G1G1S-4352-MONOMER
A0A0H0YCP0	N/A
A0A0H0YG72	N/A
A0A0H0YGD0	GCF_001525595:G1EPS-4565-MONOMER;;GCF_001679745:G1EX3-3670-MONOMER
A0A0H1NRE3	GCF_001546685-HMP:HMPREF1882_RS00345-MONOMER;;GCF_001546785-HMP:HMPREF0812_RS01895-MONOMER;;GCF_001683515:G1EY3-1666-MONOMER;;GCF_001712835:G1F3R-1789-MONOMER;;GCF_001729925:G1F6N-88-MONOMER;;GCF_001932715:G1FKN-1665-MONOMER;;SAGA1203670:G1HAG-1668-MONOMER;;SAGA1309806:G1HIP-1761-MONOMER
A0A0H1XJQ7	N/A
A0A0H2UQ40	SPNE170187:G1FZB-1113-MONOMER
A0A0H2USC0	N/A
A0A0H2USF2	N/A
A0A0H2USF3	N/A
A0A0H2USG1	N/A
A0A0H2USH9	N/A
A0A0H2USM2	N/A
A0A0H2USP0	N/A
A0A0H2USP5	N/A
A0A0H2USS8	N/A
A0A0H2UWW5	N/A
A0A0H2UWZ6	N/A
A0A0H2UX03	N/A
A0A0H2UX23	N/A
A0A0H2UX29	N/A
A0A0H2UX95	N/A
A0A0H2UXE8	N/A
A0A0H2UXR4	N/A
A0A0H2UXU2	N/A
A0A0H2UXV0	N/A
A0A0H2UXW2	N/A
A0A0H2UY03	N/A
A0A0H2UY50	N/A
A0A0H2UY62	N/A
A0A0H2UY65	N/A
A0A0H2UY89	N/A
A0A0H2UY99	N/A
A0A0H2UYA8	N/A
A0A0H2UYC2	N/A
A0A0H2UYC3	N/A
A0A0H2UYD2	N/A
A0A0H2UYJ4	N/A
A0A0H2UYP6	N/A
A0A0H2UYV7	N/A
A0A0H2UYY2	N/A
A0A0H2UYY3	N/A
A0A0H2UYY9	N/A
A0A0H2UZ04	N/A
A0A0H2UZ60	N/A
A0A0H2UZ75	N/A
A0A0H2UZI2	N/A
A0A0H2UZL0	N/A
A0A0H2UZM7	N/A
A0A0H2UZP6	N/A
A0A0H2UZP8	N/A
A0A0H2UZQ6	N/A
A0A0H2UZT5	N/A
A0A0H2UZX5	N/A
A0A0H2UZZ8	N/A
A0A0H2V013	N/A
A0A0H2V042	N/A
A0A0H2V062	N/A
A0A0H2V075	N/A
A0A0H2V0B5	N/A
A0A0H2V0C3	N/A
A0A0H2V0C8	N/A
A0A0H2V0D7	N/A
A0A0H2V0E5	N/A
A0A0H2V0F8	N/A
A0A0H2V0J1	N/A
A0A0H2V0L8	N/A
A0A0H2V0M8	N/A
A0A0H2V0Q5	N/A
A0A0H2V0R7	N/A
A0A0H2V0T8	N/A
A0A0H2V0W2	N/A
A0A0H2V0Y6	N/A
A0A0H2V0Z7	N/A
A0A0H2V104	N/A
A0A0H2V107	N/A
A0A0H2V132	N/A
A0A0H2V137	GCF_002240075:BS654_RS10790-MONOMER;;GCF_002240095:BS653_RS06320-MONOMER
A0A0H2V170	N/A
A0A0H2V179	N/A
A0A0H2V1A9	N/A
A0A0H2V1B5	N/A
A0A0H2V1E3	N/A
A0A0H2V1J2	N/A
A0A0H2V1J5	N/A
A0A0H2V1M4	N/A
A0A0H2V1N8	N/A
A0A0H2V1P4	N/A
A0A0H2V1Q4	N/A
A0A0H2V1U5	N/A
A0A0H2V1V4	N/A
A0A0H2V1V9	N/A
A0A0H2V1Z0	N/A
A0A0H2V203	N/A
A0A0H2V252	N/A
A0A0H2V292	N/A
A0A0H2V2A5	N/A
A0A0H2V2A8	N/A
A0A0H2V2B5	N/A
A0A0H2V2L0	N/A
A0A0H2V2S3	N/A
A0A0H2V2U9	N/A
A0A0H2V2V7	N/A
A0A0H2V2Y1	N/A
A0A0H2V2Y7	N/A
A0A0H2V2Z3	N/A
A0A0H2V371	N/A
A0A0H2V3A5	N/A
A0A0H2V3C6	N/A
A0A0H2V3I9	N/A
A0A0H2V3M4	N/A
A0A0H2V3M9	N/A
A0A0H2V3N4	N/A
A0A0H2V3P9	N/A
A0A0H2V3Q5	GCF_002240075:BS654_RS23175-MONOMER;;GCF_002240095:BS653_RS18655-MONOMER
A0A0H2V3S2	N/A
A0A0H2V3S3	N/A
A0A0H2V3V0	N/A
A0A0H2V407	N/A
A0A0H2V442	N/A
A0A0H2V488	N/A
A0A0H2V555	N/A
A0A0H2V5C4	N/A
A0A0H2V5L0	N/A
A0A0H2VSM9	N/A
A0A0H2VSS8	N/A
A0A0H2VT45	N/A
A0A0H2VT54	N/A
A0A0H2VT81	N/A
A0A0H2VTA6	N/A
A0A0H2VTF9	N/A
A0A0H2VTI8	N/A
A0A0H2VTK0	N/A
A0A0H2VTU0	N/A
A0A0H2VTW3	N/A
A0A0H2VTY7	N/A
A0A0H2VTZ4	N/A
A0A0H2VUP7	N/A
A0A0H2VUT9	N/A
A0A0H2VUW9	N/A
A0A0H2VUZ8	N/A
A0A0H2VV08	N/A
A0A0H2VV29	N/A
A0A0H2VV39	N/A
A0A0H2VV44	N/A
A0A0H2VV48	N/A
A0A0H2VVB7	N/A
A0A0H2VVC0	N/A
A0A0H2VVD2	N/A
A0A0H2VVG5	N/A
A0A0H2VVI1	N/A
A0A0H2VVP2	N/A
A0A0H2VVS9	N/A
A0A0H2VVU1	N/A
A0A0H2VW13	N/A
A0A0H2VW22	N/A
A0A0H2VW26	N/A
A0A0H2VW51	N/A
A0A0H2VWL1	N/A
A0A0H2VWM2	N/A
A0A0H2VX20	N/A
A0A0H2VX23	N/A
A0A0H2VX42	N/A
A0A0H2VX83	N/A
A0A0H2VXB8	N/A
A0A0H2VXH5	N/A
A0A0H2VXM7	N/A
A0A0H2VXW3	N/A
A0A0H2VXW8	N/A
A0A0H2VXY8	N/A
A0A0H2VXZ9	N/A
A0A0H2VY02	N/A
A0A0H2VY20	N/A
A0A0H2VY68	N/A
A0A0H2VYF0	N/A
A0A0H2VYF7	N/A
A0A0H2VYP7	N/A
A0A0H2VYQ8	N/A
A0A0H2VYU4	N/A
A0A0H2VYX6	N/A
A0A0H2VZ63	N/A
A0A0H2VZN3	N/A
A0A0H2VZP1	N/A
A0A0H2VZQ5	N/A
A0A0H2VZS4	N/A
A0A0H2VZY7	N/A
A0A0H2W006	N/A
A0A0H2W0B9	N/A
A0A0H2W0C8	N/A
A0A0H2W0D3	N/A
A0A0H2W0I3	N/A
A0A0H2W0M7	N/A
A0A0H2W0U1	N/A
A0A0H2W120	N/A
A0A0H2WVE0	SAUR93062:G1G4B-920-MONOMER
A0A0H2WVJ7	SAUR93062:G1G4B-949-MONOMER
A0A0H2WVT9	SAUR93062:G1G4B-931-MONOMER
A0A0H2WVU2	SAUR93062:G1G4B-1253-MONOMER
A0A0H2WVX8	SAUR93062:G1G4B-1448-MONOMER
A0A0H2WW08	SAUR93062:G1G4B-1087-MONOMER
A0A0H2WW42	SAUR93062:G1G4B-1148-MONOMER
A0A0H2WW50	SAUR93062:G1G4B-1671-MONOMER
A0A0H2WW54	SAUR93062:G1G4B-1660-MONOMER
A0A0H2WW67	SAUR93062:G1G4B-1672-MONOMER
A0A0H2WW68	SAUR93062:G1G4B-1785-MONOMER
A0A0H2WW75	SAUR93062:G1G4B-1796-MONOMER
A0A0H2WWC0	SAUR93062:G1G4B-1987-MONOMER
A0A0H2WWE9	SAUR93062:G1G4B-2048-MONOMER
A0A0H2WWF0	SAUR93062:G1G4B-1655-MONOMER
A0A0H2WWF4	SAUR93062:G1G4B-1662-MONOMER
A0A0H2WWN8	SAUR93062:G1G4B-2036-MONOMER
A0A0H2WWP2	SAUR93062:G1G4B-2044-MONOMER
A0A0H2WWR5	SAUR93062:G1G4B-2479-MONOMER
A0A0H2WWV4	SAUR93062:G1G4B-1682-MONOMER
A0A0H2WWV6	SAUR93062:G1G4B-1126-MONOMER
A0A0H2WWV7	SAUR93062:G1G4B-2244-MONOMER
A0A0H2WWY8	N/A
A0A0H2WX02	SAUR93062:G1G4B-2628-MONOMER
A0A0H2WX21	SAUR93062:G1G4B-1468-MONOMER
A0A0H2WX37	SAUR93062:G1G4B-2050-MONOMER
A0A0H2WX88	SAUR93062:G1G4B-2808-MONOMER
A0A0H2WXA4	SAUR93062:G1G4B-2263-MONOMER
A0A0H2WXA5	SAUR93062:G1G4B-2798-MONOMER
A0A0H2WXB1	SAUR93062:G1G4B-1821-MONOMER
A0A0H2WXB4	SAUR93062:G1G4B-2959-MONOMER
A0A0H2WXD9	SAUR93062:G1G4B-147-MONOMER
A0A0H2WXE3	SAUR93062:G1G4B-152-MONOMER
A0A0H2WXT4	SAUR93062:G1G4B-2548-MONOMER
A0A0H2WXU4	SAUR93062:G1G4B-2563-MONOMER
A0A0H2WY00	SAUR93062:G1G4B-17-MONOMER
A0A0H2WY40	SAUR93062:G1G4B-2720-MONOMER
A0A0H2WY61	SAUR93062:G1G4B-791-MONOMER
A0A0H2WYD2	SAUR93062:G1G4B-994-MONOMER
A0A0H2WYE2	SAUR93062:G1G4B-35-MONOMER
A0A0H2WYH9	SAUR93062:G1G4B-1059-MONOMER
A0A0H2WYJ9	SAUR93062:G1G4B-1193-MONOMER
A0A0H2WYM6	SAUR93062:G1G4B-866-MONOMER
A0A0H2WYP2	SAUR93062:G1G4B-1355-MONOMER
A0A0H2WYT5	SAUR93062:G1G4B-1411-MONOMER
A0A0H2WYV4	SAUR93062:G1G4B-542-MONOMER
A0A0H2WYW1	SAUR93062:G1G4B-1699-MONOMER
A0A0H2WYW9	SAUR93062:G1G4B-585-MONOMER
A0A0H2WZ06	SAUR93062:G1G4B-1938-MONOMER
A0A0H2WZ29	SAUR93062:G1G4B-1401-MONOMER
A0A0H2WZ39	SAUR93062:G1G4B-1950-MONOMER
A0A0H2WZ77	SAUR93062:G1G4B-1726-MONOMER
A0A0H2WZ86	SAUR93062:G1G4B-1309-MONOMER
A0A0H2WZB1	SAUR93062:G1G4B-1387-MONOMER
A0A0H2WZC2	SAUR93062:G1G4B-1917-MONOMER
A0A0H2WZF0	SAUR93062:G1G4B-1973-MONOMER
A0A0H2WZG1	SAUR93062:G1G4B-2690-MONOMER
A0A0H2WZG9	SAUR93062:G1G4B-1738-MONOMER
A0A0H2WZJ1	SAUR93062:G1G4B-1185-MONOMER
A0A0H2WZL1	SAUR93062:G1G4B-1924-MONOMER
A0A0H2WZM0	SAUR93062:G1G4B-2916-MONOMER
A0A0H2WZQ6	SAUR93062:G1G4B-1410-MONOMER
A0A0H2WZW3	N/A
A0A0H2WZX2	SAUR93062:G1G4B-2524-MONOMER
A0A0H2WZY6	SAUR93062:G1G4B-1878-MONOMER
A0A0H2WZZ2	SAUR93062:G1G4B-294-MONOMER
A0A0H2X027	SAUR93062:G1G4B-57-MONOMER
A0A0H2X029	SAUR93062:G1G4B-447-MONOMER
A0A0H2X037	SAUR93062:G1G4B-2123-MONOMER
A0A0H2X0A1	SAUR93062:G1G4B-445-MONOMER
A0A0H2X0B5	SAUR93062:G1G4B-479-MONOMER
A0A0H2X0C4	SAUR93062:G1G4B-2917-MONOMER
A0A0H2X1A6	SAUR93062:G1G4B-251-MONOMER
A0A0H2X1G4	SAUR93062:G1G4B-432-MONOMER
A0A0H2YY22	ECOL405955:G1G7D-1354-MONOMER
A0A0H2Z6P1	PAER208963:G1G74-4552-MONOMER
A0A0H2Z6X6	N/A
A0A0H2Z7B7	PAER208963:G1G74-4297-MONOMER
A0A0H2Z892	PAER208963:G1G74-4177-MONOMER
A0A0H2Z8T0	PAER208963:G1G74-3730-MONOMER
A0A0H2Z968	N/A
A0A0H2Z9A9	PAER208963:G1G74-3632-MONOMER
A0A0H2Z9C3	PAER208963:G1G74-3699-MONOMER
A0A0H2Z9M5	PAER208963:G1G74-3484-MONOMER
A0A0H2Z9S0	PAER208963:G1G74-3423-MONOMER
A0A0H2Z9U4	PAER208963:G1G74-3338-MONOMER
A0A0H2ZA56	PAER208963:G1G74-2852-MONOMER
A0A0H2ZA93	PAER208963:G1G74-3337-MONOMER
A0A0H2ZAH9	PAER208963:G1G74-3183-MONOMER
A0A0H2ZAX4	PAER208963:G1G74-2522-MONOMER
A0A0H2ZBE7	PAER208963:G1G74-2314-MONOMER
A0A0H2ZBR4	PAER208963:G1G74-2633-MONOMER
A0A0H2ZCG9	PAER208963:G1G74-2407-MONOMER
A0A0H2ZCW9	PAER208963:G1G74-1684-MONOMER
A0A0H2ZD39	PAER208963:G1G74-1618-MONOMER
A0A0H2ZDN1	PAER208963:G1G74-1913-MONOMER
A0A0H2ZE32	PAER208963:G1G74-1210-MONOMER
A0A0H2ZEH0	PAER208963:G1G74-1449-MONOMER
A0A0H2ZEZ6	PAER208963:G1G74-1209-MONOMER
A0A0H2ZF94	PAER208963:G1G74-1189-MONOMER
A0A0H2ZFZ7	PAER208963:G1G74-893-MONOMER
A0A0H2ZGH6	PAER208963:G1G74-5187-MONOMER
A0A0H2ZGM4	PAER208963:G1G74-4907-MONOMER
A0A0H2ZGY3	PAER208963:G1G74-5020-MONOMER
A0A0H2ZHP8	PAER208963:G1G74-5754-MONOMER
A0A0H2ZHV0	PAER208963:G1G74-5283-MONOMER
A0A0H2ZI65	PAER208963:G1G74-5494-MONOMER
A0A0H2ZIH9	PAER208963:G1G74-5571-MONOMER
A0A0H2ZIW7	PAER208963:G1G74-5844-MONOMER
A0A0H2ZK24	N/A
A0A0H2ZLD8	SPNE373153:G1G6V-379-MONOMER
A0A0H2ZLE0	SPNE373153:G1G6V-1806-MONOMER
A0A0H2ZLH0	SPNE373153:G1G6V-1767-MONOMER
A0A0H2ZLI5	PAER208963:G1G74-544-MONOMER
A0A0H2ZLT2	SPNE373153:G1G6V-831-MONOMER
A0A0H2ZLY8	SPNE373153:G1G6V-291-MONOMER
A0A0H2ZLZ4	PAER208963:G1G74-700-MONOMER
A0A0H2ZM91	N/A
A0A0H2ZMK9	SPNE373153:G1G6V-1523-MONOMER
A0A0H2ZMP5	N/A
A0A0H2ZMS9	SPNE373153:G1G6V-143-MONOMER
A0A0H2ZMV7	SPNE373153:G1G6V-813-MONOMER
A0A0H2ZN13	SPNE373153:G1G6V-770-MONOMER
A0A0H2ZN54	SPNE373153:G1G6V-2077-MONOMER
A0A0H2ZN64	SPNE373153:G1G6V-642-MONOMER
A0A0H2ZN99	SPNE373153:G1G6V-791-MONOMER
A0A0H2ZNG3	SPNE373153:G1G6V-962-MONOMER
A0A0H2ZNG8	SPNE373153:G1G6V-1133-MONOMER
A0A0H2ZNI4	SPNE373153:G1G6V-489-MONOMER
A0A0H2ZNM6	SPNE373153:G1G6V-420-MONOMER
A0A0H2ZNN6	SPNE373153:G1G6V-6-MONOMER
A0A0H2ZNS9	SPNE373153:G1G6V-452-MONOMER
A0A0H2ZNX1	N/A
A0A0H2ZNX3	SPNE373153:G1G6V-1932-MONOMER
A0A0H2ZP62	SPNE373153:G1G6V-1359-MONOMER
A0A0H2ZP84	SPNE373153:G1G6V-31-MONOMER
A0A0H2ZPA7	SPNE373153:G1G6V-1878-MONOMER
A0A0H2ZPC6	SPNE373153:G1G6V-169-MONOMER
A0A0H2ZPG7	SPNE373153:G1G6V-376-MONOMER
A0A0H2ZPI5	SPNE373153:G1G6V-1107-MONOMER
A0A0H2ZPL5	SPNE373153:G1G6V-1190-MONOMER
A0A0H2ZPN9	SPNE373153:G1G6V-1189-MONOMER
A0A0H2ZPQ1	SPNE373153:G1G6V-1170-MONOMER
A0A0H2ZPS0	SPNE373153:G1G6V-1192-MONOMER
A0A0H2ZPS7	SPNE373153:G1G6V-1995-MONOMER
A0A0H2ZPT1	SPNE373153:G1G6V-1039-MONOMER
A0A0H2ZPT5	SPNE373153:G1G6V-1596-MONOMER
A0A0H2ZQ65	SPNE373153:G1G6V-1942-MONOMER
A0A0H2ZQ87	SPNE373153:G1G6V-2079-MONOMER
A0A0H2ZQE0	SPNE373153:G1G6V-865-MONOMER
A0A0H2ZQE4	SPNE373153:G1G6V-457-MONOMER
A0A0H2ZQF3	SPNE373153:G1G6V-775-MONOMER
A0A0H2ZQI4	SPNE373153:G1G6V-298-MONOMER
A0A0H2ZQW0	SPNE373153:G1G6V-1475-MONOMER
A0A0H2ZR12	N/A
A0A0H2ZR39	SPNE373153:G1G6V-879-MONOMER
A0A0H2ZR50	SPNE373153:G1G6V-168-MONOMER
A0A0H2ZR80	SPNE373153:G1G6V-739-MONOMER
A0A0H2ZRA8	SPNE373153:G1G6V-618-MONOMER
A0A0H2ZRF0	N/A
A0A0H3BNJ9	N/A
A0A0H3FL20	EAER1028307:G1GYC-594-MONOMER
A0A0H3GE39	N/A
A0A0H3GGT0	N/A
A0A0H3GIV1	N/A
A0A0H3GJV8	KPNE1125630:GJUV-997-MONOMER
A0A0H3GSB6	KPNE1125630:GJUV-1003-MONOMER
A0A0H3JDM8	ECOO157:TERC-MONOMER;;ECOO157:TERC_2-MONOMER
A0A0H3JF05	N/A
A0A0H3K684	N/A
A0A0H3K6P9	N/A
A0A0H3K743	N/A
A0A0H3K7D0	N/A
A0A0H3K7F4	N/A
A0A0H3K7L0	N/A
A0A0H3K8E2	N/A
A0A0H3K8I6	N/A
A0A0H3K8Q4	N/A
A0A0H3K8V5	N/A
A0A0H3K9E4	N/A
A0A0H3K9P0	N/A
A0A0H3K9T2	N/A
A0A0H3KA72	N/A
A0A0H3KAP0	N/A
A0A0H3KBK6	N/A
A0A0H3KCE0	N/A
A0A0H3KCP9	N/A
A0A0H3KCZ3	N/A
A0A0H3KDS2	N/A
A0A0H3KE94	N/A
A0A0H3KFC4	N/A
A0A0H3KFD1	N/A
A0A0H3KFQ9	N/A
A0A0H3KFX1	N/A
A0A0H3KGZ9	N/A
A0A0H3M0I9	MBOV410289:G1G1S-68-MONOMER
A0A0H3M0K6	MBOV410289:G1G1S-91-MONOMER
A0A0H3M0L5	MBOV410289:G1G1S-107-MONOMER
A0A0H3M0M7	MBOV410289:G1G1S-124-MONOMER
A0A0H3M0M9	MBOV410289:G1G1S-129-MONOMER
A0A0H3M0P5	MBOV410289:G1G1S-156-MONOMER
A0A0H3M0Q5	MBOV410289:G1G1S-168-MONOMER
A0A0H3M0R6	MBOV410289:G1G1S-185-MONOMER
A0A0H3M0V2	MBOV410289:G1G1S-233-MONOMER
A0A0H3M0X2	MBOV410289:G1G1S-255-MONOMER
A0A0H3M0X9	MBOV410289:G1G1S-260-MONOMER
A0A0H3M0Z1	MBOV410289:G1G1S-272-MONOMER
A0A0H3M102	MBOV410289:G1G1S-283-MONOMER
